"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.240477643162,405.405405405405,405.965909090909,408.869684722194,401.639344262295,411.385459533608,414.737265162022,415.58725179771,412.344211701359,417.298937784522,423.728813559322,423.393220060568,420.962199312715,414.594211123723,425.380596955224,442.330383480826,441.299223516362,448.412698412698,450.912348628388,450.592886520304,449.413937696741,458.178694158076,465.573770491803,470.403835515397,466.751700680272,468.531468531469,477.272727272727,487.947826760447,488.527682723524,498.684210526316,496.173469387755,498.344836144253,501.483679525223,504.356463743437,509.791599963158,511.038961038961,519.230769230769,522.058823529412
"Harris","TX","Houston","48","201",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.19235225956,115.523720919868,114.047097480832,120.167189132706,126.21359223301,126.710154759597,127.551020408163,134.306260575296,139.593908629442,134.025558271187,127.260481771913,141.183574879227,135.929776488287,149.863760217984,152.941176470588,150,149.399399399399,157.973624450897,164.194915254237,162.099236381687,149.888143176734,163.331548395108,158.585644717341,161.56670746634,167.064439140811,159.671532846715,166.865552903739,167.064439140811,174.669312169312,174.418604651163,179.025423728814,184.187966997589,183.235234872291,178.970917225951,188.356164383562,192.708333333333,188.392566688354,187.591375337723,191.195470436237
"San Diego","CA","San Diego","06","073",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.422536702793,351.5625,356.213082476482,370.433789954338,370.653100775194,373.263888888889,365.525896387551,365.547839506173,358.333333333333,354.528301886792,367.156348373557,352.718078381795,349.872773536896,349.833333333333,362.215909090909,369.046768707483,386.346830985916,372.126436781609,404.253555633332,395.242321345887,391.005398522775,404.120443740095,412.052614295367,428.571428571429,421.391934734759,423.030303030303,429.906542056075,437.974520109689,442.924407595066,443.11377245509,457.700169039071,455.210237659963,451.751665470088,444.025834230355,438.034821446216,438.943894389439
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.9375,351.433857539315,362.089557747231,362.554112554113,362.554112554113,360.505050505051,360.162235764757,356.001486436269,353.741496598639,346.892138939671,353.786848072562,361.475567525972,362.639832019622,373.97724377744,381.772087227414,392.478352256633,378.910126012903,375.832438238453,379.40379403794,375.410714285714,374.821428571429,379.218737316124,378.636363636364,388.542200797516,392.860892388451,401.947365639698,405.555555555556,408.350733773269,411.392405063291,405.661355904074,405.339805825243,408.163265306122,408.152524167562,408.877004727913
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.491916064671,308.345771144279,301.222498962225,304.358048064813,305.147058823529,307.017543859649,308.988764044944,315.47619047619,312.068637250702,323.353293413174,328.938677605507,328.142380422692,349.41277900182,354.074074074074,351.681957186544,354.06699751861,346.153846153846,341.685649202733,328.344207667105,321.021897810219,332.448979591837,336.134453781513,345.285119047619,345.901639344262,371.106770833333,372.093023255814,376.269853547855,371.681415929204,368.493150684931,374.486551392891,376.730760723712,372.781065088757,375.439659816824,369.918481441583,367.642238163865,371.09375,370.710429470774,371.681415929204
"Dallas","TX","Dallas-Fort Worth","48","113",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.318054620937,129.986302580417,136.986301369863,135.196746898875,139.708846207497,136.327466335764,139.43661971831,148.985845304898,146.056475170399,144.028551661546,141.313965599835,143.098958333333,134.719101123595,136.212121212121,137.86373143448,138.537235317893,136.340479159714,135.736040609137,136.567103935419,139.360639360639,141.451414514145,130.354154410156,141.496598639456,146.371463714637,140.230695752621,148.551829268293,153.818835900747,158.985965192967,166.210268948655,161.233543017786,162.353515625,163.182458212209,158.633372048006,159.583333333333,177.930306230201,174.921273694859,176.614906832298,175.29296875,190.995907230559,195.945945945946,198.183363148479,198.349142207274,197.099767981439,193.75,195.442605926865,195.417789757412,203.989120580236
"Queens","NY","New York","36","081",7,,,,,315.025641025641,295.317634173056,299.813333333333,285.912142857143,272.631578947368,278.666666666667,276.080586080586,265.333333333333,265.358974358974,234.544627805873,237.692307692308,225.333333333333,225.333333333333,227.142857142857,241.465149359886,248.888,247.5,247.706422018349,245,245.882352941176,245.882352941176,243.333333333333,242.732204968944,255.714285714286,254.365079365079,250,244.457410697411,241.428571428571,235.727272727273,238,243.333333333333,243.205128205128,244.142270168856,245.668449197861,246.153846153846,246.862745098039,254.651162790698,250,249.888,250,251.757575757576,249,252,253.18164556962,256.249375,256.25,264.598540145985,262.678571428571,263.333333333333,278.666666666667,271.702962775386,280,278.666666666667,281.25,273.75,280,292,295.77380952381,300,268.65671641791,282.200935143288,310.333333333333,306.666666666667,311.216216216216,323.255813953488,331.650641025641,340,331.972222222222,348.75,382.314036725801,377.619047619048,384.615384615385,387.323943661972,398.918918918919,418.321415058645,423.75,431.155778894472,453.206022036474,466.666666666667,476.907160423761
"Riverside","CA","Riverside","06","065",8,139.020537124803,135.099337748344,135.099337748344,134.974533106961,132.181781639123,132.807312416999,131.964809384164,132.777931415929,128.8087961267,129.139072847682,129.353589579987,128.297750667175,123.80268467225,115.46875,113.924050632911,113.4025439581,107.697230209618,108.766233766234,105.827814569536,106.492890995261,105.036035773872,101.890756302521,103.953614982578,101.634478689718,101.018675721562,103.908484270734,110.264129417788,109.090909090909,114.468167519864,120.925635962544,116.2109375,119.5813771518,115.894039735099,117.0673782277,127.218764181241,127.390438247012,123.79746835443,131.09756097561,131.569907248368,136.14003254103,141.956162659605,146.850393700787,144.244559713985,148.928997020854,147.707979626486,147.706097197376,151.824091037204,162.212415250902,168.12865497076,173.477255204318,173.325554037644,177.448594115317,180.171591992374,177.71568592036,169.871794871795,169.871794871795,169.262232102037,167.200339558574,168.810289389068,168.589743589744,173.678841650153,174.811332767402,175.31853212145,175.576538736107,180.335857379994,182.679552397152,183.284457478006,181.498829039813,182.118055555556,178.533001260423,186.034115138593,180.170575692964,180.071283095723,180.156570942205,188.564476885645,189.0625,186.034115138593,190.322580645161,192.37900078064,188.536953242836,186.815120491713,183.166666666667,181.138211382114,181.401024196999
"San Bernardino","CA","Riverside","06","071",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.276559852988,135.765086206897,135.208333333333,120.365912373616,122.193371868337,135.135135135135,142.156862745098,150.508482745325,153.610193487494,153.610193487494,148.426785714286,144.84126984127,140.217391304348,146.5,135.164835164835,142.667078754579,156.25,150.187969924812,156.359265734266,150.375939849624,150.375939849624,167.509500269034,165.561258278146,171.153846153846,167.265555420614,166.666666666667,167.411545623836,167.272206378352,165.364583333333,171.475270004909,177.986507936508,181.523826827243,181.361607142857,180.327868852459,187.368421052632,185.289163391353,176.923076923077,176.827830188679
"Santa Clara","CA","San Jose","06","085",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.696078431373,414.485731964767,437.689969604863,441.65435745938,441.65435745938,448.275112964894,437.037037037037,449.301861702128,464.048573975045,468.372155049787,486.322188449848,478.362573099415,471.102623688156,467.666177054337,476.649126820712,475.307899687736,455.445335584635,467.680608365019,484.482039434631,504.609779670735,508.710493046776,524.316109422492,546.530529798776,563.003832430289,570.7616989615,562.350023996161,550.616853313751,556.311881188119,573.281002312357,553.79746835443,562.029803471668,562.920901601407,595.208070617907,609.443990374737,607.05596107056,591.756777146306,562.394676393483,596.058454649427,599.249755089443,599.713920389242,597.649312374497
