"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375000,369900,359000,370000,379000,395000,399000,399999,4e+05,4e+05,411000,4e+05,399037.5,385000,388000,399999,415000,429000,440000,449000,449000,449000,450000,449000,439900,439500,439900,450000,450000,460000,459900,475000,479000,479000,483750,489000,489000,479999
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,150000,149900,169900,185000,195000,209000,209000,199900,199000,199000,189900,184900,174900,169900,182250,199000,199000,199900,199900,205000,199900,199000,193000,185000,185000,189000,199500,209900,218900,218200,214990,209900,204900,210000,213900,210000,199600
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210000,219900,230000,225000,239900,239900,238900,229900,224000,224000,221250,214900
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142000,149849.5,150000,155000,161000,164000,164000,161750,159000,159500,159000,159950,159500,159900,163950,169800,174900,175000,179899,175000,166500,169875,179000,185000,189000,189900,193250,194900,190000,195000,199900,2e+05,197900,193000,193000,199900,2e+05,210000
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,309900,318500,318700,329000,332900,325000,330000,345000,349000,340000,334000,338500,335000,339000,335438,345000,349900,359000,348500,375000,375000,380000,375000,375000,372500,375000,385000,386000,395000,395000,399000,399999,409450,409000,409000,399000,399000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389000,385000,385000,379900,389000,389000,389900,399000,399000,398000,398700,394000,395000,389900,397700,399900,408950,414900,424000,425000,424000,424900,425000,424900,423000,420000,427000,429500,430000,430000,439000,448800,444450,448000,449000,450000,449900,449000
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699000,699000,699000,748500,745000,699000,755550,719000,749000,735000,777450,789000,799000,779000,799000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274900,259000,259000,255000,265000,263000,256450,252500,260000,269000,270150,290000,299000,295000,305000,305000,299900,280000,289000,319900,329900,339000,339500,369900,375000,380000,385000,369000,388888,389000,385000,387000,385000,393900,390000,390000,395000
"Queens","NY","New York","36","081",9,289000,299000,290000,299000,299000,295000,289000,279894,285000,289000,288000,285000,279900,279000,279000,275000,275000,279000,269000,277845,269000,269000,260000,265000,263000,259000,259000,259000,259000,259000,258888,255000,249900,250000,260000,259000,259000,265000,260000,259000,259500,254900,250000,250000,259000,258000,259990,259000,260000,268000,269949.5,269900,269000,275000,275000,259000,269900,269000,269000,269000,269777,275000,274900,270000,279000,295000,295000,299000,299999,300500,329000,329000,357000,368999.5,369949.5,375000,359000,360000,389000,389000,388444,388000,399000,399000
"Riverside","CA","Riverside","06","065",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189000,197750,195700,199000,199900,204900,215000,209500,206400,209000,209825,210000,215000,219900,220000,225000,228650,229000,229900,229900,229900,225000,229000,229000,229999,230000,238000,239900,239000,239900,239900,236950,235000,234994.5,235000,238000,239000,239900
"San Bernardino","CA","Riverside","06","071",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,143450,144900,145000,150000,152750,155000,159000,159000,159900,164900,159999.5,159900,159900,165000,160000,169900,168750,169000,169900,173000,179000,179900,179000,179900,179999,180000,179500,179000,179000,185000,185500,189000,189900,189900,189000,189819,189999
"Clark","NV","Las Vegas","32","003",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114000,110000,110000,114900,115450,115000,116900,113942.5,120000,124500,125000,119990,119900,123975,127000,128000,129900,134250,130000,130100,130000,133500,134900,136000,138500,138000,144900,147500,148250,148900,148900,150000,155000,159900,160000,162250,159900
"King","WA","Seattle","53","033",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,269900,250000,264475,274700,278000,274950,285000,289000,285000,289950,281000,274950,249444,264975,279900,298000,305000,309950,315000,310000,310000,319440,319900,319000,3e+05,312500,329950,340000,355000,365925,359970,369250,369900,379950,385000,378000,375000
"Wayne","MI","Detroit","26","163",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59900,63180,54900,61450,64900,67550,73000,79900,79700,79900,80000,75000,74900,69900,75000,79900,84900,84900,79900,84900,89250,80000,80000,80000,79900,79900,80000,78900,79900,89900,98500,93200,89975,90000,89000,94950,87950,84900
"Tarrant","TX","Dallas-Fort Worth","48","439",15,,,,,,,,,,,,,,,,,,,,,,,,79500,75000,78000,75000,77000,78000,78500,78500,75000,74200,74949.5,83750,87625,87000,89000,94900,94000,92700,95500,96999.5,95000,95000,95400,94900,89999,89500,91995,99249.5,99000,99900,99900,99900,106000,110000,114745,118450,124500,129500,120000,119000,119900,120000,129900,120950,127750,124800,123900,119500,118700,115450,117000,130000,129900,127990,129900,140000,135000,135500,138500,139638.5,139900
"Santa Clara","CA","San Jose","06","085",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469000,469000,459500,449925,479950,499000,495000,499000,495000,495000,499000,499000,472425,455000,451500,489900,520000,528500,557500,549475,569000,585000,588944,589000,589000,589000,599000,599950,628970,639888,649000,639900,629888,629000,629000,638944,609950,598000
"Broward","FL","Miami-Fort Lauderdale","12","011",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135900,135000,134500,134900,134995,131450,135000,135000,134900,133000,135000,135000,135000,136850,139000,139999,139900,138900,139000,139500,143700,145000,146900,149000,154000,155000,158675,159900,159900,169000,170000,175000,179000,179000,179999,184000,185000,185000
"Bexar","TX","San Antonio","48","029",18,84900,88000,88200,88200,88200,89894,89900,88900,92000,90000,89900,88200,87000,85000,85000,85500,86945,89000,89000,87000,81300,75900,83900,79900,79900,79900,79900,79900,79250,83000,83210.5,82500,79998,79995,87000,89000,89000,89900,92500,95000,99500,104900,1e+05,98000,96490,99500,99949.5,105000,1e+05,1e+05,108500,109638.5,110000,109000,110000,109000,106250,99500,1e+05,104900,101000,110000,109000,109000,110000,110000,120000,115000,125250,119500,114937.5,120000,119900,123950,124999,129900,135000,138500,139000,134900,130000,135000,137500,139900
"New York","NY","New York","36","061",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195000,2210000,2295000,2375000,2325000,2395000,2450000,2602495,2550000,2400000,2400000,2340000,2319990,2345000,2375000,2350000,2325000,2325000,2365000
"Philadelphia","PA","Philadelphia","42","101",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,164995,175000,199000,194450,180000,184900,199000,199900,209900,2e+05,189900,185000,189000,189900,193200,194500,189900,199900,219900,234450,234500,225000,210000,2e+05,209900,219000,219900,209000,199900,214900,229900,229900,229999,230000,229900,224000,222420,224800,225000,224900,220000,225000,225000,235000,239900,239900,244950,236000,234900,247912.5,230000,228900
"Alameda","CA","San Francisco","06","001",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329950,340000,375000,382499,390000,398400,399000,399900,399950,399950,399987.5,399925,398400,389000,379900,4e+05,419450,429950,465000,464488,475000,474988,475000,475000,459500,445000,450000,477444,499000,505535,525000,524900,525000,515250,512500,529888,529888,520000
"Middlesex","MA","Boston","25","017",22,239000,264950,275000,274900,278900,279000,274900,274900,279000,275825,275412.5,269000,264900,265000,259900,261000,269900,269900,269900,269513.5,265000,259000,249900,235000,249900,249900,257750,268900,269900,269000,262500,259000,254350,259900,270000,267500,269000,279900,296750,299900,309000,315000,309900,299650,299900,306450,299900,299900,309250,324900,320000,319000,324900,324900,314900,311500,319900,324900,319000,315247.5,324900,327700,335000,345000,339900,339900,339000,325000,325000,339900,339900,339000,339000,359900,375000,375000,375000,379999.5,379900,375000,385000,389900,379950,386900
"Suffolk","NY","New York","36","103",23,299000,299000,297500,289000,289000,279900,279875,281750,279000,275000,279000,269000,259892.5,250900,259000,259692.5,259000,259442.5,259000,257500,259000,256000,255000,254990,259900,259900,259000,259900,259000,256950,254000,250000,250000,250000,262500,264900,259999,259500,269000,275000,279000,279000,289000,290000,299000,298250,289000,298900,295000,250000,288250,279000,289000,295000,299000,299000,299000,307000,295000,307000,307000,314000,319000,3e+05,309000,319000,309900,314999,315000,329000,328000,325000,329495,325000,315000,325000,339900,345000,345000,345000,349000,349000,349000,350000
"Sacramento","CA","Sacramento","06","067",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219000,209999.5,217500,224900,221500,225000,225000,229000,229000,229900,228250,218500
"Bronx","NY","New York","36","005",25,249000,249000,249000,242499.5,240000,245000,240000,239000,240000,245000,242500,239000,239000,225000,240000,248500,249000,245000,240000,237999,227000,229000,225000,219900,229000,230000,229000,224023,229999,225000,235000,229000,229000,225000,239900,225000,235000,235000,235000,225000,225000,227500,235000,239000,237999,239000,239000,239000,250000,250000,250000,239000,249000,249250,250000,249950,250000,249900,235250,239000,234750,239000,240000,229949.5,239000,239000,239000,244750,235000,229000,235000,249900,249949.5,249000,255555,264950,284000,275000,269000,275000,275000,259950,249750,250000
"Nassau","NY","New York","36","059",26,349000,349945,349450,349000,349000,349000,349000,349000,349000,345000,339000,339000,334900,319990,329000,325000,320000,319000,309999.5,299000,299000,299000,289949.5,289000,289000,279000,285000,289000,286500,279000,278000,274900,269000,269000,277000,274450,279000,286500,279000,298000,299000,299000,289999,294460.5,295000,299000,298500,297500,289450,289000,289000,299000,299000,299900,3e+05,299000,299000,299000,299000,309990,324500,325000,329000,305000,305000,349999,349000,349000,349999,355000,359000,369500,359000,375000,375000,388000,369000,379000,369000,369000,379000,379000,389000,389000
"Palm Beach","FL","Miami-Fort Lauderdale","12","099",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139500,139000,139000,139900,139900,142000,140000,145900,147000,144850,145000,146000,149900,149900,149900,154900,159900,159900,154000,153900,155950,159900,165000,169000,169900,169950,175000,175000,177000,179800,179800,179900,179900,179900,180000,184900,180000,179900
"Cuyahoga","OH","Cleveland","39","035",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74900,74999.5,74999,74999,78000,79900,79900,79900,79900,79900,79900,75000,74750,69900,71900,72900,72500,75000,77900,79000,75000,75000,74900,74900,70000,69900,69900,69900,75000,79900,87500,85000,85250,84900,85000,84900,84900,82400
"Hillsborough","FL","Tampa","12","057",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87900,89800,89100,92500,95000,99500,94900,89900,99900,99500,99900,99900,99900,97600,99900,109000,105000,104900,102700,107000,110000,115900,118900,120000,125000,124900,129000,126900,132700,132950,130000,134900,135000,137000,140000,142000,143000,143000
