date,Los Angeles,Orange,San Diego,Riverside,San Bernardino,Santa Clara,Alameda,Sacramento,Contra Costa,Fresno,Ventura,San Francisco,Kern,San Mateo,San Joaquin,Stanislaus,Sonoma,Tulare,Solano,Monterey,Santa Barbara,Placer,San Luis Obispo,Santa Cruz,Merced,Marin,Butte,Yolo,El Dorado,Shasta,Imperial,Kings,Madera,Napa,Humboldt,Nevada,Sutter,Mendocino,Yuba,Lake,Tehama,Tuolumne,San Benito,Calaveras,Siskiyou,Amador,Lassen,Del Norte,Glenn,Plumas,Colusa,Mariposa,Inyo,Trinity,Mono,Modoc,Sierra,Alpine
1996-04-30,162225.0,191525.0,158225.0,114550.0,100250.0,234325.0,196275.0,120425.0,192750.0,94850.0,182400.0,259300.0,83900.0,277050.0,120000.0,104775.0,178700.0,83450.0,139600.0,182075.0,170825.0,161675.0,160050.0,206925.0,93625.0,321343.0,102525.0,128175.0,142750.0,107475.0,96250.0,76800.0,90675.0,170700.0,103825.0,148775.0,103200.0,125975.0,76225.0,91750.0,80050.0,102625.0,167800.0,127225.0,71175.0,109575.0,96200.0,,67000.0,,,,121470.5882,53000.0,77500.0,,,
1996-05-31,162925.0,197550.0,158125.0,112500.0,101700.0,238575.0,196900.0,121675.0,203000.0,95475.0,186700.0,265700.0,83575.0,276575.0,118950.0,106475.0,181925.0,84000.0,139725.0,177600.0,170700.0,162725.0,163100.0,212875.0,92075.0,331490.1,104000.0,126075.0,144625.0,104750.0,92125.0,77075.0,90000.0,169350.0,101125.0,151750.0,100600.0,125775.0,73425.0,97750.0,79550.0,110775.0,166200.0,129000.0,75525.0,125150.0,106050.0,,65823.5294,,97230.7692,115000.0,,,78970.5882,,,
1996-06-30,164500.0,197875.0,158925.0,115000.0,103450.0,238875.0,202225.0,122175.0,209050.0,95475.0,192350.0,274250.0,83750.0,283075.0,118640.5,107200.0,184375.0,85375.0,144100.0,184800.0,170650.0,168100.0,164300.0,212750.0,93325.0,339252.9,105500.0,125600.0,147050.0,103875.0,91200.0,74475.0,92225.0,164700.0,101000.0,156150.0,101750.0,128000.0,85950.0,92000.0,80225.0,116375.0,174500.0,115250.0,76425.0,124475.0,105750.0,,,,,,119076.9231,51950.0,,,,
1996-07-31,164550.0,198050.0,158700.0,113975.0,101850.0,241875.0,203700.0,122175.0,207150.0,96550.0,192275.0,273000.0,85175.0,280200.0,116613.35,107650.0,182850.0,87625.0,147975.0,193900.0,175925.0,170850.0,164700.0,222500.0,97250.0,332825.0,107375.0,129200.0,145375.0,106425.0,93125.0,75650.0,91875.0,172025.0,103200.0,155500.0,101725.0,129575.0,83375.0,86900.0,74375.0,117525.0,171150.0,114950.0,75900.0,122125.0,100925.0,,,,,94230.7692,112882.3529,,81538.4615,,,
1996-08-31,163300.5,199300.0,157300.0,113225.0,101650.0,241200.0,202250.0,121075.0,202500.0,96625.0,195725.0,268650.0,85375.0,284100.0,121302.15,106350.0,182400.0,89200.0,146775.0,192000.0,182575.0,166650.0,164500.0,225200.0,96100.0,329750.0,109675.0,135450.0,144425.0,106950.0,94050.0,74425.0,86600.0,177225.0,101050.0,155300.0,103375.0,126525.0,81550.0,84600.0,81675.0,116550.0,168750.0,115875.0,80000.0,117125.0,93000.0,85000.0,,80000.0,,,,82300.0,98470.5882,,,
1996-09-30,163550.35,199625.0,157300.0,113675.0,102975.0,242075.0,198200.0,120300.0,202300.0,96900.0,192325.0,262600.0,84975.0,288400.0,120125.0,105450.0,180550.0,87100.0,144150.0,184425.0,189050.0,164400.0,161150.0,223550.0,94700.0,321525.0,107725.0,133200.0,139425.0,108100.0,89650.0,72675.0,85500.0,177500.0,98300.0,155075.0,103150.0,125525.0,81975.0,82325.0,84150.0,114425.0,170225.0,121550.0,82250.0,128250.0,86975.0,,,95882.3529,,,156250.0,79750.0,100800.0,,,
1996-10-31,161875.15,196300.0,158700.0,114375.0,104450.0,240225.0,195925.0,120000.0,194400.0,95175.0,185725.0,250400.0,85075.0,286550.0,116000.0,104500.0,181850.0,84575.0,143975.0,190475.0,182075.0,169725.0,164150.0,217750.0,91850.0,317000.0,110975.0,129225.0,138350.0,101300.0,93850.0,64800.0,85600.0,167750.0,103475.0,153975.0,106375.0,132225.0,81500.0,81675.0,79375.0,115850.0,169525.0,112375.0,83125.0,122250.0,89900.0,,77000.0,,,81000.0,135250.0,71725.0,114000.0,,,
1996-11-30,160675.0,193900.0,157200.0,117325.0,102925.0,239675.0,195075.0,120750.0,192700.0,97275.0,181200.0,255350.0,84850.0,280000.0,118227.0,106150.0,186825.0,84975.0,141625.0,191350.0,178425.0,168775.0,162675.0,217400.0,90600.0,324325.0,107500.0,131550.0,140900.0,100175.0,100250.0,65200.0,93150.0,167900.0,103475.0,154375.0,108700.0,144475.0,75575.0,88450.0,75975.0,116425.0,171550.0,114700.0,80675.0,114200.0,93200.0,,77000.0,113153.8462,75000.0,80411.7647,,66025.0,106250.0,,,
1996-12-31,160000.5,195500.0,152250.0,117925.0,100600.0,239600.0,195500.0,119025.0,190300.0,97775.0,181500.0,263750.0,82400.0,275550.0,118015.4,106650.0,182050.0,86975.0,142900.0,193400.0,174750.0,170150.0,158775.0,214750.0,93000.0,321575.0,108050.0,126575.0,140750.0,100950.0,94250.0,67175.0,95900.0,166050.0,101350.0,151800.0,105175.0,133854.5,73925.0,91975.0,74975.0,113475.0,172200.0,118475.0,72425.0,114100.0,94750.0,,,,86764.7059,86650.0,116923.0769,64275.0,,,,
1997-01-31,160000.85,197250.0,155050.0,115375.0,97300.0,244425.0,192850.0,115675.0,188250.0,94100.0,187050.0,268250.0,82675.0,272900.0,117670.15,106975.0,182475.0,83700.0,139009.0,195425.0,183250.0,168700.0,161750.0,217050.0,95350.0,320350.0,104025.0,127400.0,143000.0,104350.0,92250.0,69425.0,92100.0,168700.0,102800.0,156475.0,106675.0,126968.15,66250.0,91200.0,73900.0,109475.0,185225.0,125275.0,72025.0,110350.0,,,,,,,,,,,,
