"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.751879699248,299.654495275713,294.053512494107,296.551724137931,299.96342355523,309.444444444444,312.5,315.910396323952,319.631477992226,320.170464613531,320.642201834862,321.379452809401,316.407824540605,307.803441246931,309.836560805577,318.761384335155,325.570563577084,331.463539010709,341.529381311699,342.828733559361,343.272171253823,346.2986631278,347.201210287443,349.68152866242,347.729177166799,346.666666666667,345.439112678206,351.266352559456,358.151642387586,363.210039630119,365.83850931677,370.881064690027,371.317829457364,370.441458733205,370.46130952381,370.46130952381,370.178041543027,368.649143007534
"Cook","IL","Chicago","17","031",2,170.854700854701,174.176287958755,174.954545454545,175.215921504284,172.025723472669,171.052631578947,165.625,164.20894909688,159.620567375887,160.295103957076,156,147.532188841202,144.230769230769,142.142857142857,143.707482993197,144.839422394066,145.141065830721,144.274159216688,142.02661666012,140.766823161189,140.5625,138.202913279133,134.074941451991,130.637254901961,130.574912891986,131.658536585366,131.25,132,132.442150760719,131.052828003919,124.355555555556,123.463687150838,121.440972222222,120.642776684064,127.262443438914,126.469205453691,125.568181818182,126.666666666667,133.277777777778,140.911814793394,143.888888888889,145.886654478976,143.307064098458,141.604166666667,143.406593406593,139.06976744186,131.359466221852,132.356567093409,128.472222222222,145.399305555556,155.342869829992,162.108108108108,166.666666666667,166.615079365079,166.444629475437,164.364981504316,160.117458622531,156.83718377821,151.9,141.304347826087,144.777222264628,157.314814814815,165.867474916388,168.6875,170,172.065727699531,172.916666666667,169.654904201787,166.666666666667,162.5,156.25,156.425983526911,161.11917562724,167.529282722861,177.251184834123,180.458665220038,182.186234817814,185.416666666667,184.848484848485,180.615097856477,182.215465077817,180.421907228565,178.982092365693,174.418604651163
"Harris","TX","Houston","48","201",3,73.7893927747886,74.8337028824834,75.087058191049,75.2929688412316,75,74.5257452574526,73.4558823529412,73.2673267326733,74.0033222591362,73.3279034977609,73.8258575197889,72.9695431472081,72.2549544724156,72.1231766612642,72.1896749435153,72.0112279381209,72.2914164697375,72.5583104246265,72.1273291925466,71.8483301006183,70.5162368460056,71.1974110032362,69.6298973779189,69.5821727019499,69.5372910783279,69.3101225016119,69.9466508595139,70.8061655764166,71.0365853658537,71.2691895180009,71.1081662446743,71.3368486352357,71.1618513930054,71.0900473933649,73.4094616639478,73.7333122367042,73.6648250460405,76.0108630054315,77.5709219858156,78.8868276643487,80.0112296462661,80.4036458333333,81.0101265822785,81.7788079140982,82.0707070707071,83.5349462365591,82.9781914893617,83.6054866100588,83.969465648855,85.5051664753157,87.277813005473,89.6786681458214,90.1613621601559,90.7840440165062,91.3654822335025,92.1996583242445,92.5294118081886,93.8438438438438,94.8033707865169,98.0175727622186,99.9143672692674,102.556561085973,103.170271019616,106.1875,103.693729903537,102.409638554217,105.914028793805,107.71144278607,110.073052023015,111.048501626627,110.628497632372,112.373685335355,113.42293708336,111.144578313253,112.942913385827,113.174695298897,113.669027302834,114.425029245614,113.391984359726,114.204830662616,113.423549187512,113.056888279644,111.974894957983,111.496143102837
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.564516129032,123.461078242372,123.550710609619,124.756877799104,125.643666323378,126.658624849216,125.525205006167,126.203993183434,124.889759921607,125.115987128926,123.98097826087,126.786107142857,124.781221860595,125.83082848208,129.253819036428,129.751461988304,131.815458358298,134.137491616365,134.028717044007,133.795013850416,131.46246596655,133.945417789757,135.078429811858,137.179858396675,138.654524089307,138.967074596691,140.410062419408,143.887537739014,143.793717243148,143.655850646106,145.692913365143,145.206638359932,144.618055555556,145.15351618027,145.590682196339,145.266215362551,145.85764294049,145.211930926217
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.773909466509,265.307125307125,266.609416212522,271.5859030837,276.967930029155,280.115066522834,282.527641277641,286.324786324786,287.079001623021,287.237797498992,287.69025461713,284.848484848485,283.001270734965,279.144564152791,283.424543937678,285.446039136845,290.085925871253,291.828793774319,297.740113285796,294.279427942794,305.223645773649,307.320654123325,307.5,304.48717948718,304.371584699454,305.234534330387,305.506993006993,310.346666666667,315.51724137931,316.882097287959,319.094462312387,320.5613303682,323.322672352523,322.058823529412,324.707846410684,324.660378334906,320.669992872416,320.458732639779
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.11278565589,349.864130434783,349.674837418709,349.193670983086,349.579883417481,354.349951124145,358.210824552833,360.611668340234,362.645348837209,364.485504072505,364.393545028631,365.384615384615,366.853958175651,363.76,362.252054794521,357.99932234159,362.859201126072,368.764991026351,371.09375,373.44398340249,376.068883610451,378.63121614968,379.719434409127,381.225868725869,382.147024504084,380.546994323405,381.399062028658,385.578437917223,386.81204569055,389.82010383827,392.268694550063,394.333843797856,397.828307901338,400.21440108276,399.926666666667,399.137201280256,400.384368994234,402.061855670103,402.862985685072,404.176891345275
"Kings","NY","New York","36","047",7,325.338253382534,329.67032967033,328.871527777778,329.383001994467,328.138528138528,334.821428571429,336.95652173913,332.528957528958,343.125,346.95652173913,337.662337662338,333.333333333333,332.795698924731,329.741379310345,332.676767676768,326.785714285714,327.182952182952,326.785714285714,327.049180327869,319.447508896797,322.58064516129,320.839245786034,314.375987361769,314.736842105263,308.124133491781,319.59706959707,316.867469879518,321.111111111111,326.800196608503,319.039473684211,310.251661484056,298.295454545455,298.295454545455,299.625,339.285714285714,333.632675283694,331.453634085213,326.912771044604,331.453634085213,331.54151352823,331.453634085213,339.393939393939,339.393939393939,342.617456339261,348.881777975075,348,372.08346291401,367.117117117117,375.981161695447,359.671771130105,360.906862745098,372.133027522936,377.840909090909,394.214008961643,394.894894894895,403.393665158371,404.320650656116,405.94944884314,412.377289377289,415.927376649854,475.555555555556,463.472914401886,473.320158102767,482.8125,495.833333333333,495.426829268293,503.205207597205,510.220125786164,527.173913043478,539.487976782753,578.751857355126,590.833333333333,675.162337662338,665.760869565217,658.283284023669,700,661.204708699122,658.283284023669,616.93195999215,642.235332138604,648.627646754208,653.36859541219,669.544961854338,708.330968657749
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.587790311616,133.389261744966,137.464375156191,148.020020621626,144.971924451251,143.269230769231,145.032632342277,144.9479889043,150.602409638554,149.314802844215,151.143790849673,151.185644251349,152.057245080501,155.205937123453,156.25,164.347390942467,166.28701594533,163.927015165171,169.424701642444,174.738959413553,176.042183622829,166.559897501602,166.898470097357,178.571428571429,180.658159838818,184.375,184.305317324185,191.771731917717,194.301523254703,201.011031723221,204.654346338125,202.565872226959,209.774436090226,213.291616208967,212.098201269972,212.167689161554,212.167689161554,214.814334361546,216.535433070866,220.320303590389,221.729323308271
"Dallas","TX","Dallas-Fort Worth","48","113",9,75.5597014925373,75.9274342361679,77.4258760107817,78.2608752726038,78.0347448534466,77.7472527472527,77.3049645390071,76.8382352941177,77.043256407034,76.4455782312925,74.9847839762765,72.3683178338711,70.6952070464425,69.7474156913413,69.0495532087734,68.4282201868492,70.2758979698074,70.9239558707644,69.6687972109239,68.3791606367583,66.8629100084104,66.8498168498168,65.6954887218045,63.4126984126984,64.0215333193222,65.1921682378535,63.973063973064,63.1308903363289,64.6884272997033,67.1828353852774,67.0581655480984,66.0514813016027,65.4298143537562,66.4791210948455,76.0790330170769,76.1531997747757,75.2672497570457,76.5992515973657,79.8722044728434,82.094175960347,83.442265795207,83.422778771616,84.3688685415304,83.6069012239331,84.0258541089566,84.3253968253968,83.8744588744589,83.2108183079057,81.1243386243386,80.6252909584313,84.8853868194842,87.4747474747475,89.3782383419689,87.1062992125984,87.7616426530921,90.2659307576518,88.6,88.349297672858,86.8186717756664,88.646756291013,88.3737809871213,92.6384550583753,95.8013010053223,97.5473801560758,99.236641221374,99.6449178872614,99.1897806387265,100.441712900931,102.04802259887,102.739383561644,102.739726027397,101.60485021398,102.738731856379,104.78374836173,108.454281567489,111.887141535615,114.211125349681,115.853658536585,117.088607594937,117.148490469766,119.098738537707,121.529745042493,123.253081347576,122.401433691756
"Queens","NY","New York","36","081",10,,,,,,293.236530833462,295.673076923077,298.245614035088,300,302.308802308802,300.200803212851,292.802403204272,292.628024760833,287.660256410256,292.857142857143,293.248777015919,295.138888888889,292.789223454834,292.307692307692,290.208776704175,286.699687682998,282.171780526355,271.398944193062,267.479674796748,259.765625,256.779188948307,257.311715768375,255.632152006832,256.534090909091,250.700259522353,247.92,239.815881326353,237.437185929648,237.346481314045,266.131398252185,268.972347913524,269.487594252018,271.990740740741,276.172404175632,280.608465608466,277.222222222222,283.607901546609,278.107851278583,283.983695652174,293.318160597572,292.967518133081,292.967518133081,298.85,301.724137931034,303.254437869822,309.541150764749,310.802384443513,315.263157894737,319.201612903226,327.32683982684,333.095238095238,330.886496544391,330.766612200436,327.788951004454,323.076923076923,332.621183164661,321.514953190014,329.003463203463,329.003463203463,344.180473372781,351.446963028169,354.295454545455,360.185902401239,370.714285714286,379.206215554195,381.372964691631,382.357362125543,388.888095238095,388.988629563136,388.888095238095,407.54132231405,416.666666666667,417.125008581039,416.161643835616,418.69918699187,423.913043478261,422.932330827068,413.947015425889,410.874920634921
