"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,181.988779803647,181.034482758621,184.777217046239,186.980048564464,186.748597381779,183.733333333333,183.767228177642,185.303646296532,186.412593206297,184.292062122519,182.534095908491,175.700552260176,174.141414141414,173.335777547734,172.293803997782,174.771271893574,179.160510572335,177.006155409984,174.676524953789,175.351393977839,171.766959973453,174.386920980926,172.125413577564,169.491525423729,168.496621621622,168.655941878568,170.023987648808,171.782377214409,175.570393641221,179.672367738097,181.361724500526,178.354528585919,178.589706097383,185.249621785174,185.692276016883,189.437147136767,193.171608265948,196.33152173913,203.85790787002,208.915866741954,213.082981625954,217.69983746504,224.088722403586,223.101214705692,223.595192125893,225.769471154885,237.425340382756,234.465666608524,230.481557377049,231.729206261505,235.021398002853,238.530187726801,243.224932249323,249.384236453202,250,256.176084099869,255.925014822289,257.662596067333,257.8125,253.140040981624,256.136822537739,259.512155874594,260.472430406852,263.185654008439,273.361013972075,277.690972222222,278.409090909091,280.289330922242,287.712561711465,285.829137939316,284.951422410666,283.12570781427,284.980011422045,285.659509202454,286.458333333333,288.864189787485,294.712286158631,299.815498154982,300.36855036855,302.132701421801,305.933964442392,307.419786096257,308.082235583649,307.570408453458
"Harris","TX","Houston","48","201",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.9282700421941,69.3576014929348,67.3580301685892,66.0377358490566,71.9119734973971,73.2600732600733,74.7986191024166,73.7942913385827,75.5226030799801,74.7986191024166,75.5226030799801,74.5079662605436,78.5308283979658,76.5994623655914,74.404868355688,79.8228346456693,79.9458661417323,78.1948168007149,78.929917632277,78.4854099119963,82.5,83.0188679245283,83.0188679245283,83.0188679245283,83.2091405861898,89.2470682450482,103.776688834442,102.50372526045,99.1626267078008,96.1538461538462,101.981351981352,107.27969348659,106.433677521843,100.446428571429,100.446428571429,98.6433013001696,105.400403346408,105.444697833523,108.373934226553,112.259653426175,111.859838274933,108.373934226553,109.591961023143,112.206572769953,112.569418386492,115.384615384615,125.104253544621
"San Diego","CA","San Diego","06","073",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.826681246583,276.194467728416,270.517497904443,285.499785499786,286.206896551724,286.334913112164,300.761421319797,292.744140492158,311.926605504587,328.237212059621,316.332234911873,298.947512726069,288.888888888889,302.686622843912,314.458319106385,317.787227496484,312.5,306.123919308357,300.300771088815,340.073375262054,331.299459866851,321.332167874323,349.180327868852,332.406615340747,312.096651445967,311.805555555556,323.992119089317,335.960960960961,330.413978786703,346.842486781511,359.31840731852,393.576826196474,390.709046454768,378.787878787879,364.902676399027,348.375637366717,342.6735218509
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",4,269.218359954104,267.485822306238,259.615384615385,260.268857356236,262.187088274045,254.896313364055,263.235780664623,256.644880174292,251.893939393939,249.037536092397,248.752504166553,244.836849183442,248.993474416334,243.173459248202,245.96128656673,238.908926961226,244.177144619722,242.313705054716,243.251366120219,242.313705054716,240.605839769971,250.495646349632,261.115954664342,241.344827586207,240.868184224457,265.399247294718,256.410256410256,263.003396397303,265.567533291059,266.877470355731,266.201648700063,269.76130617136,269.56261234272,287.543477944917,287.769784172662,283.162865843652,261.369576581286,278.340569223348,273.134355973177,275.12285012285,288.461538461538,289.550986151909,309.094707820252,310.264902845948,317.186392629341,316.960784313725,310.907749077491,311.350553505535,309.355051014539,316.704146170063,318.524542691495,313.237300985595,321.195394830298,321.559317434747,326.295585412668,333.228774324763,333.848958333333,369.130434782609,345.352788104089,335.519093105108,349.485949280329,349.73325429757,350.421348314607,354.412786657401,354.166666666667,379.120879120879,351.698579639756,375.357483317445,362.247887323944,363.942307692308,369.264542697301,380.943288142066,366.846361185984,366.846361185984,389.549413228147,390.509873268494,398.527865404837,383.878573533746,384.615384615385,427.230046948357,428.38041636817,432.348311225317,427.453027139875,432.697862507221
"Kings","NY","New York","36","047",5,243.888888888889,245.867041857193,246.590305444887,246.212121212121,243.263473053892,243.888888888889,245.180598555212,242.893240682249,245.339912280702,237.355271176112,235.042735042735,230.263157894737,227.234784723777,223.367697594502,225.094920136161,224.583333333333,225.520833333333,227.085063352531,228.645833333333,223.801965398334,224.489795918367,222.76688453159,224.583333333333,225.352004738725,226.449275362319,226.449275362319,223.182359952324,226.666666666667,227.732793522267,229.779411764706,228,227.466180773553,230.823153409091,230.61862244898,242.851307189542,242.115477923338,244.319066010242,244.9995,251.869158878505,256.714060031596,259.134615384615,263.28933858133,267.5,273.054621848739,276.203966005666,286.203022875817,302.141527001862,300,303.204081706939,304.453612455537,306.603773584906,309.734513274336,317.948227415541,321.071428571429,325.750612745098,332.152974504249,335.022589020045,341.305998481397,340.909090909091,345.167652859961,356.460512304348,358.045486446823,358.164184190031,366.071428571429,384.303797468354,388.924963924964,386.602540500736,390.833333333333,399.666666666667,410.999160369437,416.666666666667,420.672596153846,424.176470588235,432.098456790123,444.037037037037,454.28434657731,454.268292682927,454.763044518909,453.289473684211,457.66590389016,462.962962962963,464.309523809524,467.953454741927,465.734649122807
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.220837325465,141.817203617196,148.195060164661,161.684094497572,168.311403508772,150.733835779453,153.311912173244,166.666666666667,170.394036208733,173.328819679531,180.040302519303,187.361888517569,185.067082388511,183.252360562143,188.70523415978,190.47619047619,191.906255438582,199.334543254688,195.866253869969,198.763250883392,202.127659574468,202.722222222222,200.732153752288,201.828703703704,204.015137240123
"Queens","NY","New York","36","081",7,,,,,,268.031189083821,264.686147186147,266.180555555556,262.920981551066,263.196480938416,263.636363636364,260.58538054005,260.364583333333,256.171849951908,258.045977011494,256.622807017544,259.237875288684,259.482739420935,256.513157894737,254.329004329004,254.152823920266,252.761299424813,252.605808526861,251.177609918573,250.718390804598,249.902075989033,249.902075989033,251.990073642803,253.731343283582,253.90625,254.568635784105,251.543209876543,248.967193195626,245.447351421189,259.475632989184,255.986328125,256.943271768626,262.732455456859,267.261904761905,270.813397129187,275.175953408886,275.749063670412,279.48717948718,281.07578125,286.294234768718,285.738357843137,281.994804021236,284.375,286.403376545071,286.561264822134,289.296486789823,290.169133192389,296.5625,297.332047573128,303.229166666667,307.581574767415,309.288874841972,310,307.688356164384,307.135416666667,310.943060498221,310.457516339869,315.754738267148,327.190827190827,329.801245210728,332.818518518519,335.060429364432,342.202746129127,353.137516688919,354.900828953014,357.6546690997,354.395604395604,351.200686106346,358.397435897436,364.702517162471,373.293515358362,375,380.126849894292,381.913163607657,386.462808416439,391.194811603793,394.886363636364,393.333333333333,387.962962962963
"Riverside","CA","Riverside","06","065",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.72680788897,145.41193401329,140.641361256545,145.671206225681,144.046924973348,144.810267857143,143.915145370219,146.238938053097,142.039157739195,146.640559732665,148.141163793103,143.779342723005,143.260869565217,144.543429844098,136.473163841808,140.665833072835,144.796533817543,151.558197582764,153.543307086614,151.454545454545,154.850565240219,154.962216222261,156.557865519432,148.700468683426,150.309278350515,159.586460418562,156.617954070981,159.212920837125,166.819012797075,162.64506302521,163.453678474114,164.767288654654,165.139142201565,165.283540802213,165.012771765416,167.47121276739,169.095913642726,170.193864507882,171.46178436501,171.46178436501,178.018575851393,186.023255813953,180.102915951973,180.930778668856
"San Bernardino","CA","Riverside","06","071",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.590859195689,98.0383973288815,103.380376344086,103.559096945551,99.5728211009174,104.13769123783,116.075886170744,116.659583510412,113.3,113.266666666667,113.3,116.135879341933,122.222222222222,119.78551751279,120.523415977961,122.269373717202,125,126.164208074534,120.523415977961,112.750222484827,112.5,112.67217630854,116.80024938297,115.017579105977,126.170424173001,121.731082946417,121.129040466641,122.901678657074,117.680941647884,118.639784946237,112.894117647059,111.555075593952,111.862442040185,117.680941647884,117.680941647884,117.356064840693,122.298331613347,122.140522875817,121.982537236775
"Clark","NV","Las Vegas","32","003",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,60.0550361684903,60.0550361684903,60.7096824408468,62.2653316645807,62.2810948680433,62.296858071506,62.3040752351097,63.9983286032043,63.5267534345626,63.3333333333333,62.6118067978533,63.7562615541596,65.223311546841,65.78073089701,67.208904109589,65.5020212219255,60.6702619414484,58.2107843137255,63.5596006695361,63.7099512569144,63.4566326530612,63.5162601626016,60.7843137254902,63.5665516206483,65.0759219088937,62.7700833888629,63.1125326169969,65.3539399762204,65.7071339173967,68.0668016194332,71.9560227783912,71.2725817859241,70.9843366093366,71.3266761768902,71.218487394958,74.482306356952
