"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.849056603774,311.041472265422,305.190058479532,308.031613773021,312.5,322.391559202814,326.875,330.22014676451,335.009578544061,333.333333333333,333.876913611146,333.857030636292,328.235558265266,316.728774789409,320.192083624621,333.568289840365,338.690476190476,345.931558935361,356.260621826834,356.938483547926,359.034500988774,359.876442973736,359.657811796488,362.154594839294,361.279296875,360.469610445642,360.965703971119,368.368421052632,375.447469197469,379.06222385068,381.929046563193,386.321790574765,388.888888888889,388.239116309292,388.869219165146,389.321894470405,389.805097451274,388.421052631579
"Cook","IL","Chicago","17","031",2,159.953354978355,162.305545798696,164.052247375328,164.319248826291,161.321106932097,159.265675180785,153.306729899554,151.260889500229,147.756976179167,145.192776964373,141.129032258065,132.78573925201,129.067184897279,127.870423101947,129.527559055118,134.07132573367,135.614889613356,133.532934131737,133.290978398983,132.417389210019,132.115927864699,129.484272373922,123.875114784206,116.120218579235,118.236472945892,120.37130893162,123.131704225352,125.523429710867,126.691527115449,124.498995983936,121.448274390884,119.557416267943,118.312876810529,118.314194222068,124.999772727273,122.62262295082,120.934959349593,124.930594114381,129.298041987557,134.166666666667,138.413517491614,141.559977877013,140.192034066598,139.751552795031,141.183723797781,139.764158079301,133.530001528733,132.365499573015,127.181818181818,134.021128259046,141.635561312367,146.971103147141,153.894927536232,156.643765876598,156.481481481481,155.270182638667,153.286327591288,151.166810717373,145.833333333333,137.933753943218,133.82316468254,141.129032258065,150.596359070935,153.868143789213,159.29423639704,161.147540983607,159.79081929111,158.823529411765,157.567316620241,157.139183597994,154.268702609653,149.954724249797,148.090825743229,152.136552018859,160.381422532158,166.652287581699,170.339279468346,170.935201749155,168.904109589041,165.840356965791,164.861238332657,163.117526008151,159.468438538206,154.549205154359
"Harris","TX","Houston","48","201",3,74.5997088791849,75.4978632478633,75.6010685663402,75.7575757575758,75.5793413723729,75.1779359430605,74.055813425754,73.9897353482465,74.7297297297297,74.0740740740741,74.3920595533499,73.5816370723257,72.9360645561763,72.9501963200747,73.2484076433121,73.0661048788566,73.5543873837444,74.1148613136768,73.6902426168834,73.1482685995594,71.2171052631579,71.4655618850337,70.4918032786885,70.4324135359696,70.5014749262537,70.466298522617,71.4241636448999,72.2543352601156,72.6744186046512,73.0621220450797,72.9138166894665,72.9185751801637,72.9318676417707,72.7826675693974,74.852187623177,75.4033104354378,75.6895125056359,78.3049286043298,79.4371311847481,80.6132756008375,81.4583562607489,82.1959259487381,82.406436170404,82.6425355321102,83.1485587583149,84.9903585593434,84.2555994729908,84.8574770755703,85.4202261306533,87.7546012269939,89.1004862236629,91.0687087901185,91.6298442593263,91.7308324334476,92.3770597278755,93.7263924775579,94.8429399207075,95.462587541467,96.7395348837209,98.7514863258026,101.152647975078,103.188363737975,104.052044609665,105.860969387755,104.146002749759,102.79501216545,105.080070704403,105.882352941176,106.76510676965,108.026510141093,107.607632093933,109.554212315829,110.404872064494,107.607632093933,109.034267912773,109.044903681977,109.434431814928,109.576078728236,108.826973572309,109.25093292379,108.896674734053,108.963924758274,108.002314814815,107.934241115908
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0703125,122.895069237947,123.289502342352,124.606670862177,125.477939649365,126.344086021505,126.074224338925,126.050420168067,125.056003801523,125.233973492021,125.401539455112,126.658624849216,125.644116708262,124.691327914931,128.442340791738,131.1093871218,132.826514507379,134.322740722775,134.778365471878,134.511913912375,132.978723404255,134.20568946851,135.047361299053,136.496305885637,137.742289017196,138.050658760976,139.508426966292,142.463235294118,142.857142857143,143.240427194582,144.230769230769,143.807459261802,143.154261408805,143.01724137931,143.528018531705,144.396551724138,145.106513354385,145.617864348745
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.980115917485,270.631133197022,272.469922151451,275.32445568946,278.793572805913,282.967032967033,285.809257663548,288.262954229018,288.888888888889,288.709793200811,288.732394366197,288.343558282209,284.522960405364,281.972038263429,284.422870473595,288.758782201405,293.55981171814,296.28164556962,300.687285223368,298.322446689721,308.199743635963,310.245422511453,310.861143109085,310.198111608479,309.210526315789,310.935322701121,310.902896081772,316.205533596838,318.837209992242,319.855884707766,320.494306146057,322.238546690048,323.952879581152,323.2644409115,323.915150823972,324.438629715673,323.359540676834,325.88813303099
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.433878157504,304.304062856212,312.5,322.147060441071,329.82919141567,337.837837837838,344.67089598014,349.155503785673,351.809585914574,352.941176470588,350.680303591262,352.16872264226,353.570714285714,354.803493449782,357.795371498173,360.382424648729,365.10364930565,366.170124616453,366.853958175651,366.117459713723,365.382059800664,366.469206110597,365.069356872636,362.903771926854,361.278648974668,364.711680630853,369.74134427562,373.172628304821,373.782771535581,376.328145807739,378.059635068981,379.990565833428,383.870839424979,384.585741811175,383.680774853801,384.068091652498,387.396694214876,388.916770016606,391.540785498489,393.456375838926,396.407951145927,398.033126293996,400.81805619145,400.060168471721,399.633373933775,399.5,400.819672131148,402.739726027397,405.159138242436
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.903846153846,364.827586206897,367.327342755733,364.072102383142,367.795603089721,375.760368663594,379.8828125,381.25,385.714285714286,384.398496240602,386.737400530504,391.361256544503,391.788412703389,393.410852713178,400.537930528016,399.527777777778,409.809927697442,420.44055371695,430.689655172414,430.172413793103,433.088235294118,427.936507936508,440.492776057792,453.140096618357,456.370938298649,462.121212121212,467.342206089937,467.432950191571,475.475841874085,481.481481481481,486.303477993229,482.818870122306,483.931240657698,491.382866382866,494.387586662265,499.166666666667,503.176180488956,503.929194622625
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.839337877313,136.630343671417,140,147.086645982362,147.770016120365,146.05772060867,146.958304853042,145.14896867838,148.635403335568,149.355529883078,150.283950544273,151.406317611424,152.074546337484,153.880070546737,154.770622672718,159.4377090301,161.042944785276,159.599440615323,167.168715692056,170.032397408207,170.873626373626,162.393162393162,164.278656126482,173.590253627007,174.822205157223,177.47897388575,177.824196312766,180.938757327844,181.262592343855,188.340358744395,193.154070080863,194.501054987814,197.113821138211,199.481124788383,199.822904368359,199.147403377484,199.482631189948,202.503822629969,203.703703703704,205.191146881288,207.423580786026
"Dallas","TX","Dallas-Fort Worth","48","113",9,80.7916937053861,81.2323237956656,83.028058604098,84.147465437788,83.804143126177,83.3260886008176,82.6348424612829,81.5393794749403,80.7114477401597,79.8325722983257,77.8065276454136,75.4265400814985,73.6032117765139,72.8147762747138,72.0043073444638,71.596724667349,73.9957716701903,74.5573159366263,72.8155339805825,71.1617752139975,68.5085168259244,68.3035579506687,67.4918732943868,65.1178010471204,66.0869565217391,67.4066122799485,67.0691056910569,66.992242549335,68.1067005733578,70.4409268036524,70.5357142857143,69.0565683164761,68.6386768447837,69.8993603120504,79.2646387210374,79.0063529100348,78.1078967943706,79.3579540471806,84.0615024535788,86.2873134328358,87.8811997150435,88.0745418235616,88.377104852329,87.9414642231487,88.3424446329541,88.3110758403408,87.8676470588235,88.0600466263984,86.3427888320264,86.4313541642249,91.1434821361578,94.3931271477663,96.0752248569092,93.885152381599,95.0323433224116,96.1525704809287,96.5505346671266,96.2046204620462,94.5644080416977,96.6249099083153,96.3065411574437,102.111272005011,105.662514156285,107.809375,108.317181149847,109.151408450704,107.059824828198,107.711489714341,109.943821603139,111.607142857143,111.946666666667,111.031647318961,110.642781875659,113.839662447257,119.726890756303,123.437185979521,125.334448160535,126.36186770428,126.352583586626,124.750492449114,127.482999219518,129.192469724412,129.130797000833,129.130797000833
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.423735119048,312.5,314.534438164575,317.808219178082,320.030120481928,326.285845588235,336.925287356322,342.829076620825,344.470046082949,348.324560787973,347.65625,346.854304635762,345.192307692308,342.300556586271,343.619471744472,344.866071428571,346.687211093991,353.6,364.263803680982,370.531822144725,374.473067915691,379.015891579527,382.133333333333,381.305936073059,380.112834978843,382.437739463602,386.500429922614,386.493083807974,392.786839145107,404.886334039707,408.957373271889,410.730677013796,412.788058839306,417.021276595745,419.641964285714,420,411.029411764706,410.899653979239
