"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469000,465000,449900,455000,460000,480000,496000,499000,499900,499000,499900,499000,490000,469000,475000,499000,509000,529000,550000,555000,559000,559000,558000,559000,550000,550000,550000,565000,575000,585000,589000,599000,599000,594999,595000,599000,599000,597945
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,189000,179900,194900,209900,223500,229900,230000,230000,229000,225000,219900,210000,199000,189900,205000,224900,228000,233000,234980.5,230000,229900,225900,225000,220000,215000,215000,225000,239900,249500,249999,250000,249500,242500,244900,239900,235000,229000
"Harris","TX","Houston","48","201",3,136900,140000,144678,145000,144900,144500,140000,142900,153000,151990,154000,149990,149900,149900,149900,149900,150000,152900,150000,149900,142900,143900,139900,140000,140000,140000,144900,146900,147900,149000,148721,149000,147000,147000,159000,160000,160000,169900,174000,177495,179800,179990,179990,180161,184900,189900,185990,187990,189500,197990,199990,210000,214995,214900,215000,219800,220000,223000,229000,235495,246490,254990,260990,269900,259900,250000,267990,269900,270990,274900,273990,279666,280990,269900,275000,275000,275000,275243.5,273990,270990,269000,265000,264000,260000
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,239000,235000,239000,244900,248900,249900,250000,249000,249000,249900,250000,249000,244900,250000,259900,265000,273990,275000,275000,269000,275000,275000,278000,279900,279900,280000,284000,285000,288000,289000,289500,285000,282500,284075,282500,282095.5,285000
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,452900,458900,465000,475000,489000,459000,482540,499000,495000,489000,485000,485000,474900,479000,489900,524000,534000,549000,525000,555000,550000,559000,559900,564000,575000,569000,569000,569900,575000,579000,579000,585000,579000,579000,575000,572400,575000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599990,599900,599000,599800,609850,625000,628400,635000,635000,636000,647500,639000,630000,619000,629000,646835,659000,669000,685000,695000,689000,685000,689000,689900,685000,689450,685000,690000,699000,699900,7e+05,712000,710000,709900,709900,718990,715990,720000
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429000,429000,437250,449000,449990,459000,450000,439000,449000,449000,449999,485000,479000,497500,485000,499000,499000,499000,499000,525000,525000,515000,549000,560000,550000,595000,589000,607200,625000,650000,675000,679000,659000,679000,685000,675000,679000,699000,730000,715000,750000,729000,745000,735000,749000,759000,765750,769000,774999.5
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,269900,269000,269900,265000,270000,270000,270990,269900,274900,280000,282000,298000,299999,297500,309000,315000,310000,290000,295000,317070,320000,329000,330000,350000,359000,360000,364900,354000,369900,372000,370000,374999,370000,375000,375000,376750,379000
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,180000,175000,177950,187900,195000,200550,194500,194900,209900,199000,197000,189900,198999.5,199500,219900,229000,232888,235000,235000,225000,226500,235000,239000,239900,239000,235000,239500,259500,268929,275000,275000,273000,269900,274900,279000,275000,275000
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299990,299000,309000,299000,299500,310000,310000,319000,325000,329000,329999,339000,339000,335000,330000,349000,349225,349000,350000,359000,359000,365000,359000,360000,367000,369000,379999,388888,379990,389000,399000,399900,405750,410000,429000,420000,429000,439999,449000,450000,455000,460000,472500,475000,474999,475000,475000,469000,475000
