"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.247011952191,314.285714285714,311.64100707099,309.316770186335,314.009661835749,311.248608534323,319.122863247863,326.308139534884,329.845814977974,328.342267706303,328.249833588631,328.548895899054,329.391370218221,326.363636363636,319.052037617555,321.104699093157,334.44397993311,338.216529747095,344.921875,347.893772893773,347.327295063864,346.55131908441,353.605404175432,354.055737704918,355.768865627814,350.041206458638,351.407637504048,359.218436873748,365.731440601167,369.565217391304,372.117400419287,371.731039673351,376.983848567275,377.41935483871,376.344086021505,377.46806039489,377.280265339967,375.936384794414,375.690607734807
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.634419056879,132.107355864811,134.85681998414,141.56432038835,150,155.444444444444,159.410430839002,162.89592760181,163.762626262626,160.867063492063,162.721893491124,159.202947845805,155.555555555556,151.2,149.900690335306,166.581140350877,177.978168011391,188,187.315904669261,185.714285714286,182.086034177961,180.732071246289,179.064187162567,174.95,171.019553072626,163.571428571429,162.616279069767,170.661450924609,180.663377192982,180.405126336249,182.637075718016,182.666666666667,185.527060688406,178.854291417166,177.305310116726,173.299333333333,169.489130434783,167.857142857143,174.385749385749,185.416666666667,190,195.219123505976,195.96,198.84203480589,193.888888888889,189.582194805195,195.919486215539,195,195.195195195195,192.901447277739
"Harris","TX","Houston","48","201",3,93.2410423452769,94.1758655601854,96.4035087719298,95.75,93.3471645919779,93.1753282044043,91.1111111111111,89.5933014354067,90.5278406311155,90.3100775193798,93.4375,91.4925743763918,93.0372148859544,90.1689009729367,90.8510255839126,90.7194745312976,90.9663865546218,88.4303610906411,86.9620571658615,85.04688502014,84.1477009958038,84.8930481283422,84.953172635133,85.1029201497809,86.1884970716174,85.9580052493438,85.4087452471483,87.02807357212,88.1266490765172,87.0473537604457,85.2775941837409,85.2952755905512,81.0686015831135,80.321665089877,81.1345646437995,84.859459354272,85.1683501683502,86.7185674843368,88.8888888888889,84.6121140763998,85.5633802816901,88.4676145339652,86.6951896679517,91.7372881355932,98.0392156862745,96.7185761957731,103.098391527827,101.683748169839,104.698321358964,105.929586164299,109.121909633419,109.860093271153,113.542526837325,117.23700887199,113.235294117647,111.770088525707,117.113451810437,119.853431045969,130.831561911536,134.47187141217,135.869565217391,143.939968883998,148.691814882846,158.214479854796,150.799425082449,137.033398821218,152.406417112299,160.788070017279,162.976694915254,162.900167977772,161.888759312706,167.764407853072,168.18898605337,174.540462083383,172.117071454691,175.492610837438,179.738562091503,176.865671641791,176.442307692308,179.625690401552,178.871548619448,175.81871823546,180.032733224223,178.400954653938
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.4,126.4,127.43579228748,127.189409368635,127.061274264975,128.140250896433,128.81679389313,128.837555886736,128.833107191316,127.97619047619,129.088993353866,131.460674157303,133.42464922206,131.680867544539,134.778420038536,136.352941176471,135.398230088496,137.490737633287,138.606271777003,137.254901960784,131.482456140351,136.571952337305,140.714580365969,143.46589479134,146.546174708234,148.127925117005,149.859418931584,149.879379744703,149.898942946021,150.9375,152.030456852792,151.152030759078,149.916666666667,149.399777962338,151.442307692308,152.946508191292,154.970178926441,156.581173585994
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.082028337062,290.656146179402,293.939393939394,298.83651924038,307.447581753577,312.576781326781,315.265486725664,321.675667785725,319.811320754717,320.578243650765,318.123116659492,311.305381033823,309.812923778165,303.970881951014,312.3192944739,315.700166706359,324.612403100775,326.866798281268,331.899087448573,320.930754876231,340.789473684211,340.506329113924,339.833788197396,335.364371252341,338.265306122449,341.666666666667,344.216917061124,344.296983161081,347.457937088515,351.259623259623,353.658536585366,355.714285714286,358.973815351271,360.958904109589,362.109358497233,360.144057623049,353.611899118296,353.693181818182
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.375912408759,325.509556428435,325.442307692308,327.448533998752,328.510358434725,330.652790917692,334.225793656483,337.471872187219,338.105975197294,339.37719675323,342.600163532298,339.285714285714,340.363106912448,337.452229299363,336.079545454545,340.930320762896,341.246993524514,344.983052662748,350.208457415128,353.816459696532,354.444444444444,354.655294953802,355.516502189937,354.166666666667,353.488372093023,356.338729973735,358.140947752126,362.727272727273,365.806129247169,365.618141916606,370.147620537074,372.154361261464,373.117191818684,373.662551440329,372.947756622314,374.141161773891,375.332098098984,375.627402015479
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.798350239963,861.828327964879,877.952755905512,858.274647887324,919.2,884.599378244701,903.490759753593,873.544093178037,860.655737704918,887.777777777778,899.027223361024,905.283094098884,923.309558978688
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.302325581395,222.222222222222,232.429648028451,234.237838476071,231.299212598425,227.321237993597,230.820105820106,238.244853737811,218.151311775473,217.391304347826,230.487106686763,253.96413262066,250,256.031128404669,257.744943268121,250.968367091773,255.090082908163,250.570577970642,258.015515924651,252.957746478873,260.079592417901,268.668206312548,273.091334894614,297.858472998138,307.847673717769,305.541972290139,314.931578871556,313.494937420897,303.370786516854,295.124481327801,290.04329004329,306.805762144771,314.646183874007,326.94248234107,327.052821456909,351.063999842607,353.881278538813,357.996118596844,357.050960769653,342.833539859562,358.024691358025,357.142857142857,355.386678587394,358.166666666667,355.391913631782,358,360.109289617486,360.303413400759,360.96256684492
"Dallas","TX","Dallas-Fort Worth","48","113",9,127.853653800954,127.498228206945,127.101769911504,127.610208816705,126.239067055394,126.498002663116,126.501825126739,122.282608695652,121.777406666441,120.481927710843,118.881118881119,114.087301587302,111.624441132638,115.659386561642,113.114526543225,112.159758157817,112.517580872011,112.656789379108,110.199334684755,107.210632932113,107.107095739884,109.265978342181,109.672769073896,110.205831903945,112.387736246932,113.511662322146,114.685940769355,114.799154334038,115.364265364265,114.645934807044,112.556306306306,111.741752394466,110.561711744551,113.449781659389,118.834080717489,118.798228477556,121.094928995409,121.20683641437,124.667124092425,130.244755244755,131.929627070141,130.306559242214,132.131290734395,131.405752614551,135.602094240838,134.31698201512,135.091145833333,130.09540329575,126.17424756532,127.576213742311,127.659574468085,133.82769726248,141.357027463651,130.072840790843,126.530612244898,135.41935483871,131.180625630676,132.292763416359,133.73253493014,135.007804370447,139.979188345473,140.488656195462,147.986577181208,151.612148925573,150.623217449891,146.058702672627,143.733971113505,144.861888111888,150.581101566448,151.075581395349,150,157.541977844407,167.40412979351,164.929258598174,171.095890410959,172.943889315911,179.956272259596,184.615384615385,183.715735416349,186.220857182745,189.594231906473,192.399543378995,194.621372965322,198.4375
"Riverside","CA","Riverside","06","065",10,162.416666666667,159.090909090909,163.076923076923,161.904761904762,159.682311621967,158.116654954322,152.328767123288,155.312420567874,151.684063663979,149.921011058452,151.485088985089,149.166666666667,146.167964788356,141.509433962264,138.927972896969,139.810426540284,135.872654917567,132.466814159292,130.434782608696,128.4046692607,129.121970599921,129.382303839733,131.848284166165,131.635146682679,132.837407013815,133.791606367583,131.691338569983,132.749292071197,133.343028607004,133.049494411921,131.09756097561,133.487297921478,134.615384615385,138.41059602649,150.560224089636,153.122592449923,156.040317547911,161.04797979798,160.925726587729,162.878787878788,164.461920386091,165.003837298542,163.813908070029,164.342423159928,164.473684210526,167.253521126761,172.519083969466,174.642253521127,176.186313686314,177.891196667792,176.825919824272,177.796358231141,180.837563451777,178.768382352941,177.683387270766,176.923076923077,177.884615384615,178.743961352657,180.639184807781,180.535793198601,180.842607313196,181.022696790335,182.481751824818,183.345592449787,184.48098663926,184.667261148876,184.415491732581,183.333333333333,184.338521400778,185.230235049566,187.275939608095,188.041768531421,186.974789915966,185.209468305249,185.672093493792,186.034115138593,186.034115138593,186.623263888889,186.170212765957,186.347517730496,187.5,187.881796865034,189.949324324324,189.739985945186
