"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569925,574900,549900,565000,565000,598000,6e+05,614900,624899.5,625000,625000,610000,599900,575000,595000,619900,630000,649000,679000,684900,680000,680100,674900,675000,675000,674900,680000,695000,699888,699000,699995,709995,719000,7e+05,705950,709000,699900,699000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,260000,257900,279000,289900,319945,335000,339000,329900,319000,301000,299900,293250,279900,262999,289900,315000,315900,319900,319000,309900,309900,310000,309900,310000,299000,299900,309900,332500,342050,355000,355000,349945,339500,339900,333500,325500,324450
"Harris","TX","Houston","48","201",3,170990,175000,179000,179900,179900,179921,178000,179000,187500,186205,187000,182950,180000,180990,181990,182000,184990,185990,185000,181550,174750,172990,170000,172990,173900,174900,177290,179900,180000,184390,182500,182060,181500,180000,189995,195000,196757,206990,212990,215000,216365,219990,219900,217685,219900,225000,223000,224900,226417.5,235000,236830,244990,249900,249000,249900,254900,259992.5,259999,268591.5,274495,280490,289000,290500,299000,289995,285000,289900,294000,291990,296595,295000,299950,301990,292490,299000,298900,295500,295000,293990,290000,289900,286983,284900,284145
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303245,309900,309500,319000,315000,319990,322933,315950,309990,314900,314990,319990,319900,319900,322990,325000,333900,339900,339900,335945,329000,337000,336995,339900,347990,346995,348990,353900,350000,350000,349900,350990,353900,349900,349990,349900,350000,353990
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575000,584950,585600,599000,604990,625000,629000,639900,645000,640000,639000,639000,629000,625000,625000,649000,659900,679000,699000,669000,699000,699888,709000,699900,699000,725000,719000,719000,723900,729000,729000,725000,729000,715000,715000,699900,699000,699999.5
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785000,785000,779995,790000,799000,799999.5,809900,829000,819900,809000,806720,805000,8e+05,799000,799900,814900,839900,839000,849000,849900,849000,849900,850000,850000,849000,859900,859900,870000,879000,888000,879900,888000,879999,888995,889000,889000,894945,899000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349900,349900,349000,346990,329000,338000,344900,349000,345000,344945,350000,355500,360000,378900,375000,385000,388995,390000,375000,379000,395000,395000,399000,399890,4e+05,409900,430000,449000,444900,450000,449000,445000,449000,449000,455000,460000,463250,470690
"Dallas","TX","Dallas-Fort Worth","48","113",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,216477.5,222695,243500,249900,258000,259900,250000,250000,255500,255500,250000,263990,259700,264700,275000,290000,299000,285000,291995,299950,299900,300995,299900,309900,299825,330243,350000,358990,352700,350000,347990,339000,349000,357990,362990,364945,355990,364700,379990,387130,399000,390000,389900,384000,385000,390000,375000,379450
"Queens","NY","New York","36","081",9,529000,525000,529990,539000,534888,529000,525000,529000,526500,518000,507000,499000,499000,490000,499000,499000,499000,499000,489000,474999,459000,455000,450000,445000,445000,439000,449000,435000,439000,439000,429000,429000,425000,419999,425000,425000,429000,439000,439000,429000,429000,419000,419000,419000,425000,420000,429000,425000,429000,439000,439000,449000,449900,469000,469000,479000,475000,499000,479000,479000,499000,479999.5,489000,489000,495000,469999,469999,479000,489000,509999.5,504499.5,509999,519000,525000,532500,549000,519999,529000,535000,529900,539000,539000,529000,529000
"Riverside","CA","Riverside","06","065",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369834,369900,368650,369900,373750,379000,383900,384900,375000,375000,370000,371745,369999,369990,375000,385000,389500,389900,399000,399000,399000,395000,395000,399900,399999,403750,407850,410000,414995,415000,419000,419000,416998,409900,406171,409900,415000,419900
