"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930000,937000,859990,849000,850000,899500,950000,949990,975000,949000,945000,918500,899994.5,819000,860000,899999,950000,995000,1050000,1125000,1125000,1100000,1099000,1099997,1099000,1062000,1098844,1130000,1150000,1150000,1198000,1200000,1199999,1199000,1199000,1199999,1199950,1190000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212000,2e+05,194500,210000,224900,239449.5,259900,269900,265000,259900,259900,259950,249900,220000,212000,224900,249900,256937.5,275000,277000,269000,269900,269000,269900,265000,250000,249000,250000,279000,299000,299900,299000,289900,286500,279900,273950,269886,259900
"Harris","TX","Houston","48","201",3,329250,331750,329949.5,325000,325000,324900,315000,315907.5,321000,318950,316626,314000,305000,309000,309999,315000,324945,325000,319900,310000,299900,299900,295470,299900,295000,299000,312725,322990,329575,339000,338670,325000,320000,311990,323000,329900,332000,356990,359995,364995,369990,382990,381990,383611.5,389990,398023,391901.5,399000,395000,419900,420950,429999,429900,437094.5,429990,438990,450000,449000,449900,449000,450000,461495,463435.5,471118,458750,450000,454995,455000,447990,450000,449995,450000,458700,449500,452990,464395,461495,454990,443817,442800,440000,439625.5,428000,421117.5
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455900,459000,451990,450000,464995,435000,454112.5,446995,449000,435000,429450,429900,443646,445245,444445,459900,468990,479900,479900,459900,459980,450000,452823,450000,459990,483950,489000,493990,524900,519900,503990,519000,5e+05,489950,475950,476500,499000,499999,501283
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888500,895000,917000,949000,950000,999000,999000,977000,939999.5,949000,950000,955000,949000,898000,914900,989450,1049900,1091500,1109990,1030000,1149000,1128000,1149444,1150000,1169000,1190000,1160900,1249000,1250000,1199900,1195000,1174949.5,1175000,1175875.5,1150000,1129000,1150000,1200000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297170,1298085,1299000,1272000,1297000,1325000,1299999,1299000,1295000,1299000,1374990,1398500,1359500,1344000,1399000,1399000,1349888,1350000,1395000,1390000,1382000,1398000,1389500,1375000,1364497.5,1399888,1474900,1449900,1449000,1399888,1454500,1450000,1459497.5,1429500,1429000,1399000,1419942,1459500
"Kings","NY","New York","36","047",7,585000,585000,588000,585000,579000,582500,585000,579000,585000,560000,559000,550000,550000,549900,550000,550000,549999,550000,560000,550000,550000,549000,549000,539900,545000,539000,539000,539000,539000,549000,549000,549000,549000,549000,579000,579000,579000,588000,599000,599000,599000,649000,650000,650888,679499.5,699000,7e+05,719000,749000,749000,775000,759000,799000,799000,799000,799000,789000,825000,849000,865000,925000,899000,899000,949000,999000,950000,949000,999000,999999,1112500,1199000,1199000,1250000,1295000,1280000,1295000,1200000,1200000,1199000,1200000,1200000,1200000,1200000,1299000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999450,1090000,1045000,1099000,1099000,1100000,1050000,985000,987000,990000,999000,1049500
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580000,571995,549450,549000,563567,549888,545990,499700,499000,499900,554990,613450,599000,579990,551495,592000,556490,560000,559945,559990,543500,550000,617990,619990,618490,612990,616900,599975,595990,624495,597490,592990,584495,624153,669900,695000,730222.5,699900,699000,673749.5,699000,695250,690000,680000
"Queens","NY","New York","36","081",10,648000,645000,639000,639000,629900,629000,625000,629000,625000,618000,609000,599000,599000,599000,599000,599000,599000,599000,599000,595000,589000,595000,589000,579000,579000,575000,569000,579000,589000,579000,575000,569000,550000,549900,589999,588500,575000,589000,579000,579000,589000,578500,589000,579450,589000,590000,579000,589000,589999.5,599000,599000,619950,629000,645000,649000,669000,649499.5,639000,625000,629000,639000,629000,639000,679000,679000,669000,679000,699000,699000,719000,719000,719000,729000,739000,749000,769000,769000,789000,789000,819000,829000,850000,799999,799000
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,429000,429900,435000,439000,449000,449900,450000,449900,450000,450000,449900,438950,430870,444000,449945,453000,453000,459000,465000,469900,465845,468990,464250,473000,469850,471170,479025,485999,489900,496130,499000,498000,495128,498000,499000,499900,499907
"San Bernardino","CA","Riverside","06","071",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439949.5,449250,425000,430000,445000,468000,475000,474900,459000,449000,449000,449000,434605,425000,449950,439900,439949.5,438000,439999,468390,487500,480000,480635,495000,492750,479900,485835,487000,489900,499800,5e+05,519000,516500,489000,488000,485000,479689,477950
"Clark","NV","Las Vegas","32","003",13,255000,269000,259000,250000,245000,244900,239950,235000,235700,239900,205000,195000,185000,179900,179000,172990,179900,189000,192865,199999,199120,194000,198000,192000,198894,209900,213000,225000,244000,248995,239000,244900,244900,246945,267400,275000,284900,275000,282800,299700,295000,299000,305000,320000,324900,329000,335000,329900,315000,319400,334000,349000,349900,349997.5,349999.5,349999,350000,353500,350000,349997,349478,359000,360000,368000,369925,369900,375000,375000,376970,374000,369999,375000,375000,365000,374900,379999,390000,395000,396990,396500,389949.5,394900,390000,399000
"King","WA","Seattle","53","033",14,589975,585000,559900,549950,569950,569975,569000,550000,549999.5,519818,499000,475000,439950,425361,434950,407975,408725,410000,425000,439000,449000,425000,429000,425000,429725,450000,489975,5e+05,514950,524950,519950,504950,520950,525450,599997,595000,599000,607450,629972.5,649900,674925,675975,677975,670000,659900,644700,669000,636975,619945,639925,649950,675000,689950,719950,725000,7e+05,719475,735000,699000,649000,659000,699950,725000,759900,750000,794950,760888,744242.5,768900,789950,789950,799000,8e+05,825000,825000,868000,868500,879900,869950,835000,849000,850000,849450,806990
"Tarrant","TX","Dallas-Fort Worth","48","439",15,289900,289000,292500,299900,302000,305000,299900,299900,291087,289900,279990,276545,265000,260000,269900,279500,279900,269995,274900,269900,289995,291976.5,290425,289900,289995,295000,295000,295000,295000,305855,299900,285990,286521,297277,329375,324900,325000,330000,358845,375000,381948,369900,349950,348990,349900,330000,333897.5,347755,349900,361990,375000,379000,380000,375000,376000,390144.5,376995,378995,383495,410000,439500,455032,499900,525000,479900,471254,457066,419500,414486,425000,424950,425000,420210,446350,464757,479700,479900,470964.5,467754.5,469000,459000,440316.5,451215,439623.5
"Santa Clara","CA","San Jose","06","085",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199000,1228880,1199250,1275000,1466944,1526500,1497000,1498000,1498000,1398500,1368000,1382000,1345000,1250000,1288000,1295250,1454500,1425173,1599000,1512497.5,1497000,1400000,1400000,1399999.5,1398900,1454000,1475000,1591500,1598000,1649999,1695000,1688000,1599000,1599949.5,1599900,1680000,1682500,1674500,1556975
"Broward","FL","Miami-Fort Lauderdale","12","011",17,675000,650000,630000,599000,599000,575000,596000,599000,599900,598900,589000,584900,575000,579990,555000,549000,550000,559000,560000,560000,550000,550000,549900,535000,539950,549000,565000,550000,550000,535000,525695,529000,519000,515000,604995,624900,649000,649900,690766,675000,679900,695000,659900,629850,650000,679000,649000,698000,699000,679900,695000,699000,699000,699000,698000,699000,735700,749838.5,715000,699900,715000,722940,749000,749000,710000,720000,749000,763000,773850,795000,799000,775000,762500,764900,795000,795000,792388.5,779000,799000,799000,788862.5,799000,799000,799000
"Bexar","TX","San Antonio","48","029",18,330000,335007,325000,322450,329850,340000,339500,337200,338250,338000,327000,324900,314900,310000,299950,310000,310000,310000,321900,319000,301200,295000,290000,288900,290000,280000,294000,299000,299900,315000,311990,3e+05,314450,319900,342072,338884,339950,353300,360043,369937.5,371495,375000,379000,379738.5,383990,383900,385000,385000,385000,395000,374900,384999.5,382382.5,379990,385500,389900,395000,392735.5,385835,389995,385545,389900,388495,395990,389250,389000,396990,385000,375000,369945,375000,365000,367900,389900,394435,399900,4e+05,399000,408990,399500,399900,399000,397750,388500
"New York","NY","New York","36","061",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5999999,5847500,6425000,6900000,6972500,6995000,6945000,6500000,7385000,7375000,6945000,8170000,7950000,7350000,8200000,7900000,8500000,8450000,8250000,8495000,8997500,9500000,9500000,9690000,9690000,9690000,9850000,9999500,10950000,10400000,10700000,10800000,10375000,1.1e+07,10975000,10475000,10500000,1e+07,10775000,10995000,10750000,10800000,10995000,10375000,9650000,10475000,9999499.5,10370000,9950000,1e+07,9975000,10370000,9999000,10750000
"Philadelphia","PA","Philadelphia","42","101",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260000,275000,272450,252500,249900,265400,249900,259500,257000,249000,249900,269900,279900,299900,298500,275000,285000,269950,265000,268850,259950,259900,265000,275000,299900,299250,287000,259000,259900,289000,299000,299000,295000
"Alameda","CA","San Francisco","06","001",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875000,850000,793500,899000,947750,992450,1037000,989000,995000,998000,1024444,995000,936500,889000,923000,988000,1050000,990000,1075000,1059000,1025000,999000,985000,982500,996500,977000,1029000,1094500,1147000,1150000,1189000,1147000,1125000,1125800,1155000,1125000,1125000,1125000
"Middlesex","MA","Boston","25","017",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679000,702496,799900,798876,799000,817700,799900,795000,749900,789450,839000,839000,799500,775000,834900,864450,819000,799900,765000,749900,749894,784950,789900,799000,798000,799900,849900,899000,949900,985000,926000,899000,849900,889000,885000,889000,850000,925500,995000,1096500,999000,982499.5,949450,907500,892950,879000,899000,899000,899000
"Suffolk","NY","New York","36","103",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495000,1399000,1499000,1499000,1484000,1520000,1595000,1600000,1595000,1695000,1697000,1799999.5,1799499.5,1795000,1654000,1699000,1850000,1800000,1990000,1950000,1897000,1950000
