"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399500,399000,389000,395000,396425,405000,419000,419000,419000,419900,425000,429000,425000,408500,405000,430000,449000,450000,460000,464900,459000,459000,465450,469000,459500,460000,468750,479000,479000,488000,489000,495000,495000,489995,495000,495000,498000,490000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,185000,184700,199900,219000,225000,229000,229000,227500,224900,221500,219500,214900,199900,199000,212500,225000,225000,225000,225000,224900,220000,219000,214912.5,209900,207000,210000,225000,230000,239000,239000,239900,239000,234900,239500,239900,239000,235000
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142750,139000,144875,149000,159900,165450,168250,169000,172500,179000,164495,150000,170000,175477,178750,179900,184950,189850,189900,198000,199000,199900,209500,205000,209900,220000,214497.5,199900,212000,210000
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,150000,154900,154000,150142,154900,155000,155900,154000,152000,157900,159999.5,163900,161749.5,166500,169000,169000,169900,174000,169900,159999.5,169900,178900,179995,185000,187900,189900,189000,185900,187000,189900,189900,187500,189000,190000,191500,195000,199000
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317250,319000,320000,325000,339250,349000,329900,339900,359450,359900,355000,349000,350950,349000,349000,349900,365000,375000,380000,361000,389000,389000,393363,389000,389000,388000,386000,396250,399900,413000,415990,420000,425000,424900,419000,415000,409900,405000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389999,389000,388750,384500,389900,399000,399888,408000,4e+05,4e+05,409000,399999,399900,395500,399000,409000,410000,419000,429000,434900,435000,435000,429900,425000,420000,424000,429000,439000,438000,438000,447750,459000,455000,449900,449900,450000,449900,449000
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625000,625000,629000,665000,695000,675000,716392,689000,699000,689000,695000,7e+05,724500,725000,725000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260000,260000,265000,265000,260000,269900,269000,265000,260000,265000,275000,275995,299000,305900,299000,301900,301900,299000,289000,285000,299900,310000,319900,325000,350000,365000,359950,360000,349000,365000,365000,364000,367250,363000,365000,365000,369000,369000
"Queens","NY","New York","36","081",9,249000,249000,245000,245000,249000,249000,248800,240000,240541,245000,245000,239900,239000,239000,238888,230000,230000,229994.5,229000,229000,229000,225000,224999,224450,224000,223000,224000,222500,222250,225000,219900,219000,219000,219000,219800,219000,219000,219000,219900,220000,225000,220000,220000,220000,225000,219000,224894,225000,229000,229760,239000,239000,234900,239000,239000,240000,247500,239900,238000,239000,245000,245000,249000,249000,250000,265000,265000,269949.5,275000,279000,288694,288000,3e+05,309000,299000,3e+05,306500,318844,329000,332500,338000,338000,345000,345000
"Riverside","CA","Riverside","06","065",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,239000,245000,249000,249900,249900,249000,244000,239000,239000,239975,249900,259000,269000,269000,268000,265000,269000,259900,254900,249900,249925,252575,259000,260900,269000,274900,274500,275000,275000,275495,269000,265000,269000,272985,280000,284000,282750,279900,279900,280000,279000,279000,279000,275000,279000,279900,288250,289000
