"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549900,549900,560000,548600,549000,548919,556500,575000,585000,597197,599000,599000,599000,595000,599000,599000,610000,619000,650000,669966,675000,675000,691500,690000,699000,699000,699000,695000,699000,699900,699000,728000,749000,749000,749000,750000,750000,757500,749900
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169000,155000,149900,157500,169000,164900,170000,189900,190499.5,189900,195000,195000,179900,169000,160000,165750,174900,184900,195000,196000,197000,199900,199000,199900,199000,190000,185000,185000,198250,215000,219900,215000,213950,209999,209900,207000,199900,199000
"Harris","TX","Houston","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,150000,150000,155450,163950,169000,160000,164990,169999,175000,175000,175000,180000,178995,175000,176000,175000,192950,182450,196000,197925,199900,199949.5,220000,217450,212500,210000,222500,229000,225000,259900,259000,272500,278500,280000,279000,265000,279000,289990,276950,275000,275995,298990,306895,350000,311990,314990,345000,350000,350000
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,144000,145950,159400,162141.5,165000,167500,165000,159990,169000,165000,167999.5,169900,171425,169925,169000,165999.5,167650,169900,169000,160000,164000,167000,169000,174500,175000,175000,185000,179925,189900,220000,224900,221900,220000,219000,215000,224950,215000,230000,240000,236000,230000,237000,249900,249950,255000
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579000,615000,647000,675000,682000,699000,650000,722000,725000,659450,679000,695000,692450,695000,679000,750000,744000,750000,799000,825000,824950,824900,799000,749000,749450
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727000,729000,749000,749000,749000,774900,777000,795000,832375,829000,839900,8e+05,772450,779000,796500,810000,789000,848000,850000,860000,887000,874950,869450,895000,886950,859710,892897,861853.5,879450,856102.5,898000,939000,925000,995000,925000,972500,975000,969500,988000,1050000,1055000,1050000,1091250,1098000,1150000,1199500,1225000,1225000,1170000,1150000
"Kings","NY","New York","36","047",7,549000,549000,549000,549000,540000,549000,549000,545000,549000,529000,529000,529000,528000,526999.5,530000,529000,529000,539000,539000,530000,535000,529000,529000,539000,534999.5,539000,529643,529000,529000,545000,539000,539000,549000,549000,559000,569000,565000,575000,590000,599000,594000,599000,629000,639000,649900,669000,685000,699000,7e+05,729000,749000,749000,750000,777450,792500,798999.5,795000,799000,799000,825000,865000,869000,875000,899000,948000,9e+05,899999,919000,960000,998000,999000,999000,1070000,1100000,1175000,1199000,1180000,1190000,1175000,1189999.5,1199000,1195000,1195000,1199444
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278995,269900,259450,265000,250995,261000,264900,275990,289950,280000,269900,295000,285000,297950,3e+05,325000,299900,299900,315000,320000,334900,349000,369000,362500,380000,360000,341999,379900,389900,385000,399000,399000,425000,425000,415000,424900
"Queens","NY","New York","36","081",9,590000,590000,594999,589000,579994.5,570000,569000,570000,569000,559000,559000,549000,549000,549000,549000,539000,549000,549000,545000,544900,539000,539700,539000,538900,539000,535000,529000,530000,549000,539999,549000,539000,525000,519000,539000,529000,529000,539949.5,540000,549000,550000,549000,559000,559000,559000,559000,545000,549500,559000,559000,568000,595000,599000,610000,625000,629000,625000,619000,599000,599000,6e+05,599000,599000,629000,649900,649000,675000,690000,699000,699999,719000,719000,729000,729000,735000,759000,768000,770000,769000,775000,799000,822450,799000,784000
"Riverside","CA","Riverside","06","065",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259500,255000,283000,299000,320000,325000,339950,349000,340000,325000,325000,319500,294950,299500,298500,309900,299900,299900,325000,325000,309900,332450,325000,349000,349000,335000,349000,340000,329900,329000,349000,360000,352500,359999,375000,355000,375000,360000,365000,350000,365000,384900,399450,399900,399000,384500,399900,4e+05,399000,399900
"San Bernardino","CA","Riverside","06","071",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000,275000,275450,274950,275000,285000,295000,295000,282000,299900,297000,299900,295000,3e+05,299900,312500,299444,299000,289000,279913.5,285000,3e+05,295000,299450,298450,290000,294000,290000,300950,299900,299250,302950,310000,310000,310000,325000,325000,314750
"Clark","NV","Las Vegas","32","003",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,176500,179000,180000,185000,185000,188000,189950,195000,194950,190000,195000,199000,195000,193317.5,187950,169000,160000,181000,182500,189900,195444,184900,191250,190000,189900,189900,199000,195000,199900,210000,211400,215000,218750,219900,219900
"King","WA","Seattle","53","033",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399900,399990,410000,399000,414995,399990,460000,499950,497990,499725,5e+05,499999,499974.5,520000,489500,5e+05,499950,565000,577475,565000,542450,549950,572500,595000,600001,576495,642475,712500,699900,697000,675000,660000,679950,652500,699000,719000,694950
"Tarrant","TX","Dallas-Fort Worth","48","439",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98500,109900,105000,109500,110000,119000,117900,116500,119450,123700,124900,125000,124900,124900,119950,121000,123900,123450,124900,115000,119900,120000,125000,129900,124949.5,129950,130000,130000,151500,150000,149000,149900,149900,146000,145000,139000,134900,139900,139900,140000,140000,140000,149900,150000,155000,150000,155000,158499.5,155000,169000
"Santa Clara","CA","San Jose","06","085",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799000,799500,775000,799000,750000,750000,727475,739990,725000,650000,678990,695888,749990,748495,738000,787450,779880,779975,778351.5,725000,749950,715000,842000,843300,875000,8e+05,829000,843064.5,856495,888500,899000,984097,899888,909960,865250,925000,970000,970000,970790,973285,999000,999000,999950,1025935,982965,972158.5,983830
"New York","NY","New York","36","061",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2210000,2300000,2390000,2300000,2200000,2247500,2247500,2495000,2495000,2410000,2447500,2597500,2700000,2700000,2850000,2995000,2815000,3e+06,3255000
"Philadelphia","PA","Philadelphia","42","101",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168900,170000,154900,157900,160000,159900,174900,179900,175000,175000,179900,174999.5,179900,179500,174449.5,169900,169900,169900,179813.5,179900,175000,168000,179900,174900,163900,169900,177950,179950,183900,190000,179450,174900,169900,169900,169000,159900,159900,168950,169798,169900,169900,174925,169900,168925,169374,168950,168950,174000,169849,169798
