"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498500,495000,475000,480000,494450,515000,529000,539000,549000,542648.5,546500,534900,519831.5,489000,499000,527000,539900,565000,599000,599000,599000,599000,599000,599000,598894,594500,591950,599000,619999,625000,635000,648000,645000,639000,638000,640000,639999,635000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,189900,177500,189900,2e+05,219900,229900,239000,236900,230000,227999,220000,209900,195000,187900,199900,220000,229900,239900,240000,239900,239000,234500,234000,229000,219900,219000,225000,245000,255000,260000,260000,254900,249000,247500,239900,234900,225000
"Harris","TX","Houston","48","201",3,139120,144000,146900,148950,148000,147000,144900,145000,157500,155000,156992.5,154000,150000,151500,153000,154000,155243,157365,155000,152500,145990,146999,143000,144900,144990,144900,148900,149900,149900,150000,150000,150000,149900,149900,163205,165000,165900,174900,179500,183500,185000,187900,186602.5,187000,189500,195000,189900,190000,192990,200345,207898,217968.5,219997,219000,219900,224900,226890,228228.5,234000,240990,250000,261929.5,269000,275000,266990,259900,273037.5,274990,275000,279500,279000,285000,288900,274990,280000,280000,279900,279990,276990,275000,272000,269900,265990,265000
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249000,249900,249900,250000,259800,263000,265000,265000,261562,260000,264900,266990,259990,258900,269540,276000,284844,289900,292997.5,289928,285000,289900,290000,291000,297000,295000,299000,299900,299900,3e+05,3e+05,3e+05,299900,298900,298788,298000,298500,299000
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510000,522900,525000,529995,539000,549900,532900,549900,559000,550000,549500,549000,539900,529900,538450,549900,587945,599900,625000,599000,635000,635000,639000,630000,635000,639988,635000,635000,639000,649000,649000,649000,649000,648747,640000,639900,629000,635000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715000,716325,7e+05,719000,729900,745000,749900,750000,749900,749000,750000,749000,739000,725000,748000,759000,779000,784907,798000,799000,795000,797000,798000,799000,795410,799000,798000,799900,802900,823689.5,824900,829000,828888,826845,825000,825000,825000,835000
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,599000,610500,599000,627000,649000,649000,650000,659000,650000,659000,695000,699000,699000,725500,735000,749000,739000,775000,799000,799000,795000,799000,799000,797000,789000,835000,829000,829000,829000,839000,829000,835000,849997.5,850000,875000,879000,889000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275000,279000,270000,275000,269900,271690,275000,279000,276135,279945,289000,289500,295000,299000,290945,310994.5,321990,324000,295000,299999.5,329900,330000,339000,339900,350000,350000,360000,365000,364900,374000,379000,379000,379000,379900,385000,383337.5,384990,389900
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,184547.5,177500,179000,190000,199900,210000,199900,202600,210000,205000,2e+05,194000,201400,201400,225000,235990,239900,244500,243950,230000,235000,239900,245000,247000,239999.5,235995,240000,262000,270000,279000,279900,275000,270000,274900,279000,275000,275000
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,399000,399000,399999,399838.5,399997,399900,399000,399000,399000,399000,399000,399000,399999,410000,406405,420000,439000,449000,449000,449999,449000,449999,449000,449000,445000,439000,449000,459000,479000,469000,489000,499000,499999,519000,499990,499900,519000,529000,539000,549000,549000,549999,549999,535000,530000,529000,525999,520000
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329000,329999,329900,331345,337500,343990,346111.5,347995,340000,340000,339000,339000,334900,335000,339900,349900,349977,350000,359000,359306,359000,355000,359000,362990,365000,365990,369110.5,370000,374900,375000,379000,379375,379900,375000,373935,375000,378900,382500
"San Bernardino","CA","Riverside","06","071",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229900,229990,229900,230000,240000,248700,249950,255000,257000,259000,257814,254950,250000,249900,259000,258694,263000,265000,269900,275000,279000,279000,279900,279923,279950,280000,280000,280000,285000,289000,295000,299000,299900,299000,299000,298000,298500,298500
"Clark","NV","Las Vegas","32","003",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,199000,195000,198417.5,2e+05,205937.5,210000,215990,219900,224500,225000,225487.5,224900,224999,225000,229900,234900,238888,242000,240000,245000,245900,249000,249250,249900,249900,249900,245000,249900,255000,259990,263800,264900,265000,267000,269000,269990,270000
"King","WA","Seattle","53","033",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427914,424888,410000,419950,435000,449950,450000,475000,475000,469000,465000,450000,429900,399900,419950,444925,469000,489990,499775,5e+05,5e+05,505000,510000,505000,506135,499950,499950,5e+05,525000,549000,550000,565000,550000,549900,550000,550000,549950,539500
"Wayne","MI","Detroit","26","163",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,49900,43000,44900,47900,55500,56500,62500,66900,69900,65000,65000,55080,50000,53000,59900,62900,65000,68200,70000,73000,70500,69900,68900,64999.5,59999,59900,59900,60000,65600,73900,79900,82500,84900,80000,80000,79000,74900
"Tarrant","TX","Dallas-Fort Worth","48","439",16,139900,141600,144000,145000,146305,145000,144900,145000,155000,149900,143500,139500,137525,135000,139000,139900,140970,146500,144900,139964,137900,139567.5,135900,134900,134900,136475,137221,138918,139500,141990,139900,136550,135000,139900,162500,163447.5,164900,169000,170000,174900,179500,179990,179900,179000,178900,177990,175000,177200,174900,179550,182500,189000,190000,187000,189900,191550,191990,191000,189900,195990,199000,2e+05,214900,215000,210000,209900,209000,208990,209000,209900,209900,210000,212000,210000,219000,224995,227500,230000,230000,230000,230000,235000,235000,234900
"Santa Clara","CA","San Jose","06","085",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750000,750000,779000,799950,849000,849900,856000,849000,838965,825000,825000,829000,799000,780000,798000,850000,888900,920000,938000,938000,930000,924888,924875,915517,9e+05,899995,928500,995000,1049844,1074500,1048888,1028444,1048000,999000,999999,998800,988835.5,950000
"Broward","FL","Miami-Fort Lauderdale","12","011",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,295000,289900,294900,294938.5,297000,299900,309900,3e+05,299500,299000,299000,295000,294949.5,295000,309000,315000,314994.5,299900,305000,319900,324900,324000,319900,320000,320000,324900,325000,329000,345000,349000,349900,349900,350000,355000,351499.5,354950,355000
"Bexar","TX","San Antonio","48","029",19,144900,147285.5,149162.5,149900,150000,154884,151285,149999,158819,157500,149900,149900,149900,149900,149900,150000,157900,159900,159000,151900,145000,145000,142497.5,140000,143500,141997.5,145000,145000,146945,150000,149900,149900,149900,153660,169500,169900,171075.5,177990,180000,184500,185000,189900,189900,189913,193995,198990,195000,199900,199900,209500,212000,215000,222900,215990,215000,220000,216900,213000,215000,222490,225000,229900,226499,238990,237900,241490,247900,248900,249900,243990,244990,248135,249490,235000,240000,242990,240000,242000,244900,240000,235000,241578,240000,236995
"Philadelphia","PA","Philadelphia","42","101",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185000,190000,190000,195000,209900,217450,209900,209900,199900,199000,199000,198900,189000,167900,189900,195000,201000,209900,205000,2e+05,199998.5,199900,199000,199850,199900,194900,196000,199000,201999,210000,210000,210000,209900,209900,215000,219000,215000,209900
"Alameda","CA","San Francisco","06","001",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559900,569000,575000,599888,6e+05,645000,674725,675000,655000,649000,639000,639000,599900,590000,599950,649000,684950,689000,710944,728000,719000,699000,699000,699999,699950,699694,699000,720500,750000,784995,790880,793940,792880,777000,778268,775000,765000,761380
"Middlesex","MA","Boston","25","017",22,319000,350250,365000,374000,377900,379900,374900,369900,379900,379900,375000,364900,367400,379000,379900,389700,389900,389900,375000,366200,369900,369000,349900,335000,339900,349900,369900,389900,389900,382450,373500,359900,364900,369800,419900,399900,409450,427450,439900,455000,459900,459900,459950,444672,449000,449900,449000,439000,439900,465497.5,479900,491100,499000,495250,484950,475000,484900,485000,479900,475000,479900,489900,519000,529900,529000,525000,509900,499000,499900,499900,499994.5,499250,509450,539900,559900,569900,569900,569000,549900,549000,549900,550000,561000,559000
"Suffolk","NY","New York","36","103",23,389000,389000,390000,389999,399000,399000,389000,379900,379000,359990,350000,345000,335000,329000,339000,339900,349000,349000,349900,349900,349900,349990,349900,349000,350000,359000,359000,359000,359000,349000,349000,342500,339000,349000,399000,399000,399000,399000,409000,404900,417187.5,412500,424900,425000,429000,429000,429999,435000,449000,4e+05,439000,439999,449000,449900,449000,449900,459000,479000,449000,475000,450000,450000,449000,439990,449900,449900,449000,449000,449900,449990,449900,449900,450000,449990,449999,455000,463995,469900,479000,475000,485000,485000,489000,489000
"Sacramento","CA","Sacramento","06","067",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309894,310000,315000,320000,320000,319900,319000,315500,319900,319900,319000,324450,320000,328450,335000,339950,339950,340000,339000,335000,334000,329900,329000
"Bronx","NY","New York","36","005",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419000,399000,399000,399000,399000,399000,399000,399000,419000,4e+05,399000,399000,399900,409000,399000,399000,399000,419000,429000,419000,425000,429000,429000,425000,429000,429000,429500,429000,429900,439000,439000,445000,449000,449000,450000,449000,439000,449000
"Nassau","NY","New York","36","059",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449000,449999,459000,464990,473000,479000,479000,485000,479000,479987,479000,479999.5,479000,475000,478000,487500,499000,499990,509000,510000,499000,499000,499900,499000,499900,505000,499999,499000,509000,530000,539000,539999,539000,535000,529000,529900,529000,529000,534999.5,549000,549000,559000,569000,570000,569000,569000,574444,574000,575000
"Palm Beach","FL","Miami-Fort Lauderdale","12","099",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349000,355000,365000,369000,369000,369999,365000,369900,365000,364900,359900,358900,354900,360000,370000,375000,376050,369900,369000,369000,369990,369900,370000,379900,385000,389500,399000,405000,410000,415000,417995,419000,415000,410000,419000,420000,420000,425000
"Cuyahoga","OH","Cleveland","39","035",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000,104900,102900,109000,112500,117000,119900,122000,119900,119900,115000,114900,109900,102900,109500,113250,119000,120000,120000,122500,119900,118900,115000,114900,113900,109900,109900,112500,119900,124900,127900,129000,129000,125000,124900,121900,119900,115000
"Hillsborough","FL","Tampa","12","057",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206990,201990,203000,213000,214990,218990,215000,199900,220000,220000,220000,220490,220000,215000,224900,229900,230000,229000,229650,230000,230690,242490,242990,245000,248650,245500,249000,244990,249900,250000,249000,249000,249000,242000,239900,243945,240000,239900
