,Unnamed: 0_x,RegionName,CrimeCases_x,Unnamed: 0.1,Population_x,StateCode,crime_rate,Unnamed: 0_y,sold_15,sold_16,list_15,list_16,one_15,one_16,two_15,two_16,thre_15,thre_16,four_15,four_16,five_15,five_16,cond_15,cond_16,trip_15,trip_16,sfr_15,sfr_16,Unemploy_Rate,Population_y,CrimeCases_y,Score2016,Score2015,Rank2016,Highest Rank City 2016,Zip2016,Rank2015,Highest Rank City 2015,Zip2015,Number Students,Number of Ranked Elementary Schools,Number of Ranked Middle Schools,Number of Ranked High Schools,total_income
0,0,Alameda,5185.0,1,1638215,California,0.00316503023107,6,614795.833333,661808.333333,627997.916667,687786.583333,350766.666667,398109.916667,446939.666667,509533.75,627078.666667,681881.833333,822172.5,889596.208333,1004166.66667,1128108.33333,447084.5,516185.958333,630093.583333,742294.583333,689873.916667,765736.916667,4.3,1638215,5185.0,0.644101305263,0.645995157895,25.0,Alameda,94501,44.0,Alameda,94501,224453.0,219.0,87.0,83.0,558907
1,1,Butte,3154.0,4,225411,California,0.0139922186584,26,242745.833333,242525.0,254490.833333,274374.166667,,,153875.0,158389.5,254990.833333,271704.166667,356870.333333,336079.125,377723.083333,381745.833333,152324.95,157308.25,,,259662.5,278352.083333,6.9,225411,3154.0,0.406066036364,0.416366872727,137.0,Bangor,95914,159.0,Bangor,95914,30982.0,38.0,22.0,17.0,85318
2,2,Contra Costa,4896.0,7,1126745,California,0.0043452600189,8,473875.0,503375.0,521398.916667,561797.916667,247643.75,282395.375,362643.25,400977.041667,466118.75,508889.583333,641191.583333,675463.833333,828460.25,841576.833333,340066.166667,377167.666667,505253.791667,539999.75,550779.041667,593302.083333,4.5,1126745,4896.0,0.635856077778,0.651133844444,3.0,Antioch,94509,2.0,Antioch,94509,174213.0,148.0,54.0,55.0,384646
3,3,El Dorado,4570.0,9,184452,California,0.0247760935094,28,380866.666667,399375.0,439650.0,465540.0,,,271150.0,303162.5,400983.333333,430916.625,573522.416667,621597.208333,702006.208333,760845.583333,,,,,447453.181818,469519.5,5.3,184452,4570.0,0.641134971429,0.674247642857,37.0,Camino,95634,34.0,Camino,95634,26913.0,30.0,19.0,12.0,67086
4,4,Fresno,9689.0,10,974861,California,0.00993885282107,9,221333.333333,223416.666667,253853.333333,257331.25,,,132674.916667,141424.458333,224742.875,235377.083333,319023.333333,325671.916667,398883.333333,390863.75,,,230337.5,276227.083333,258584.5,261160.833333,10.2,974861,9689.0,0.347480786667,0.335311486667,51.0,Auberry,91398,35.0,Auberry,91398,199340.0,186.0,80.0,65.0,296305
5,5,Imperial,1709.0,13,180191,California,0.00948438046295,30,184225.0,192308.333333,192724.041667,213016.25,,,,,,,214270.0,258416.666667,,,,,,,194765.833333,216726.458333,21.5,180191,1709.0,0.42253948,0.424266553333,98.0,Brawley,92227,122.0,Brawley,92227,37191.0,35.0,18.0,12.0,46452
6,6,Kern,24576.0,15,882176,California,0.0278583865351,12,197554.166667,199683.333333,224166.666667,228014.166667,74382.4166667,78366.6666667,105654.166667,121729.0,188083.333333,196487.458333,284225.416667,282102.083333,344456.666667,346161.583333,,,183533.333333,192446.0,228908.333333,232266.666667,10.4,882176,24576.0,0.33939347907,0.331461546512,126.0,Arvin,93203,117.0,Arvin,93203,180302.0,143.0,65.0,51.0,259700
7,7,Kings,1189.0,16,150965,California,0.00787599774782,31,184479.166667,196641.666667,197479.166667,215691.458333,,,105060.0,113739.5,182260.0,205670.833333,256975.416667,264470.0,,,,,,,198272.916667,216424.166667,10.7,150965,1189.0,0.4426424,0.437363030769,80.0,Armona,93202,126.0,Armona,93202,28653.0,28.0,18.0,13.0,41554
8,8,Los Angeles,43163.0,19,10170292,California,0.00424402760511,0,498737.5,518508.333333,537666.666667,587328.666667,363468.333333,409424.5,433116.583333,469545.75,497107.916667,541864.583333,659808.333333,701394.0,1038749.66667,1176232.66667,452570.833333,488478.75,664705.5,731275.0,576524.5,629662.333333,5.7,10170292,43163.0,0.575243127711,0.569822424096,4.0,Acton,90017,9.0,Acton,90017,1534702.0,1275.0,502.0,469.0,3263069
9,9,Madera,3176.0,20,154998,California,0.0204905869753,32,208508.333333,206891.666667,249110.416667,261529.166667,,,181154.166667,194937.5,239145.833333,250245.708333,289197.875,311589.583333,357766.458333,369279.166667,,,,,249175.0,262041.666667,10.5,154998,3176.0,0.529128925,0.501168975,196.0,Chowchilla,93610,185.0,Chowchilla,93610,30865.0,29.0,18.0,12.0,43159
