County,Score2016,Score2015,Rank2016,Highest Rank City 2016,Zip2016,Rank2015,Highest Rank City 2015,Zip2015,Number Students,Number of Ranked Elementary Schools,Number of Ranked Middle Schools,Number of Ranked High Schools
Alameda,0.644101305263,0.645995157895,25.0,Alameda,94501,44.0,Alameda,94501,224453.0,219.0,87.0,83.0
Alpine,,,,Markleeville,96120,,Markleeville,96120,89.0,,,
Amador,0.4744352,0.5119122,505.0,Diamond Springs,95619,453.0,Diamond Springs,95619,4020.0,6.0,2.0,3.0
Butte,0.406066036364,0.416366872727,137.0,Bangor,95914,159.0,Bangor,95914,30982.0,38.0,22.0,17.0
Calaveras,0.5761432,0.615234266667,143.0,Angels Camp,95221,107.0,Angels Camp,95221,5753.0,9.0,3.0,1.0
Colusa,0.433650725,0.5084056,497.0,Arbuckle,95912,328.0,Arbuckle,95912,4763.0,5.0,3.0,3.0
Contra Costa,0.635856077778,0.651133844444,3.0,Antioch,94509,2.0,Antioch,94509,174213.0,148.0,54.0,55.0
Del Norte,0.3182083,0.3327514,685.0,Crescent City,95531,662.0,Crescent City,95531,4121.0,7.0,3.0,2.0
El Dorado,0.641134971429,0.674247642857,37.0,Camino,95634,34.0,Camino,95634,26913.0,30.0,19.0,12.0
Fresno,0.347480786667,0.335311486667,51.0,Auberry,91398,35.0,Auberry,91398,199340.0,186.0,80.0,65.0
Glenn,0.508968257143,0.440264628571,169.0,Elk Creek,95939,241.0,Elk Creek,95939,5492.0,7.0,6.0,4.0
Humboldt,0.53517916,0.55363009,61.0,Arcata,95501,53.0,Arcata,95501,18167.0,30.0,20.0,14.0
Imperial,0.42253948,0.424266553333,98.0,Brawley,92227,122.0,Brawley,92227,37191.0,35.0,18.0,12.0
Inyo,0.454569225,0.45005045,207.0,Big Pine,92384,197.0,Big Pine,92384,5194.0,4.0,3.0,4.0
Kern,0.33939347907,0.331461546512,126.0,Arvin,93203,117.0,Arvin,93203,180302.0,143.0,65.0,51.0
Kings,0.4426424,0.437363030769,80.0,Armona,93202,126.0,Armona,93202,28653.0,28.0,18.0,13.0
Lake,0.284191933333,0.359855583333,344.0,Kelseyville,95451,155.0,Kelseyville,95451,9165.0,13.0,8.0,6.0
Lassen,0.504673875,0.457443125,152.0,Bieber,96009,154.0,Bieber,96009,4451.0,7.0,8.0,4.0
Los Angeles,0.575243127711,0.569822424096,4.0,Acton,90017,9.0,Acton,90017,1534702.0,1275.0,502.0,469.0
