,RegionName,sold_15,sold_16,list_15,list_16,one_15,one_16,two_15,two_16,thre_15,thre_16,four_15,four_16,five_15,five_16,cond_15,cond_16,trip_15,trip_16,sfr_15,sfr_16
0,Los Angeles,498737.5,518508.333333,537666.666667,587328.666667,363468.333333,409424.5,433116.583333,469545.75,497107.916667,541864.583333,659808.333333,701394.0,1038749.66667,1176232.66667,452570.833333,488478.75,664705.5,731275.0,576524.5,629662.333333
1,Orange,601020.833333,623150.0,675932.083333,705890.0,279250.0,303945.833333,417687.5,441220.833333,639658.333333,669607.0,841700.0,883811.583333,1382647.79167,1439552.29167,422483.333333,446204.166667,924108.583333,1120979.16667,787609.75,820343.541667
2,San Diego,472187.5,489250.0,538650.0,575525.0,276475.0,319328.625,360778.166667,396704.083333,494828.166667,526257.333333,684390.666667,716899.958333,1093432.0,1184135.41667,376438.583333,410828.333333,678408.333333,765775.0,609515.25,641470.583333
3,Riverside,309068.75,320437.5,344257.5,361732.458333,145399.875,145940.75,227945.75,237962.041667,327233.333333,344291.666667,394170.75,413642.833333,461315.0,492596.583333,273656.666667,280891.666667,352866.583333,387212.5,356255.25,376051.708333
4,San Bernardino,264327.083333,272666.666667,271312.5,291733.333333,,,172779.083333,185468.166667,255624.833333,274181.5,367520.833333,385991.166667,465997.791667,493139.5,259899.916667,271735.416667,295638.125,306816.666667,272363.916667,293408.333333
5,Santa Clara,799250.0,856375.0,822550.541667,888230.25,441718.666667,467069.833333,550568.25,624290.833333,765237.0,837527.708333,956901.75,1070479.75,1442610.0,1634610.29167,565239.583333,634512.458333,874462.875,980992.791667,902347.916667,1009150.875
6,Alameda,614795.833333,661808.333333,627997.916667,687786.583333,350766.666667,398109.916667,446939.666667,509533.75,627078.666667,681881.833333,822172.5,889596.208333,1004166.66667,1128108.33333,447084.5,516185.958333,630093.583333,742294.583333,689873.916667,765736.916667
7,Sacramento,275108.333333,291441.666667,306631.090909,324152.958333,,163918.25,,223129.125,273726.318182,294689.083333,363588.583333,382687.416667,453111.25,482812.416667,,208935.416667,322175.541667,338131.291667,317099.454545,332891.666667
8,Contra Costa,473875.0,503375.0,521398.916667,561797.916667,247643.75,282395.375,362643.25,400977.041667,466118.75,508889.583333,641191.583333,675463.833333,828460.25,841576.833333,340066.166667,377167.666667,505253.791667,539999.75,550779.041667,593302.083333
9,Fresno,221333.333333,223416.666667,253853.333333,257331.25,,,132674.916667,141424.458333,224742.875,235377.083333,319023.333333,325671.916667,398883.333333,390863.75,,,230337.5,276227.083333,258584.5,261160.833333
10,Ventura,502218.75,524295.833333,589982.791667,612753.208333,285379.166667,296204.166667,369092.791667,394076.791667,513900.0,543558.333333,686969.833333,721495.416667,1052250.83333,1054244.91667,386212.416667,398595.5,654929.083333,633150.0,669545.833333,694245.833333
11,San Francisco,1107920.83333,1173833.33333,1021083.33333,1123578.625,778854.166667,812199.0,1046000.0,1164208.33333,1331000.0,1481999.91667,1643771.55556,1842333.33333,,,1014270.83333,1053916.66667,1677916.66667,1934833.33333,1053750.0,1237874.95833
12,Kern,197554.166667,199683.333333,224166.666667,228014.166667,74382.4166667,78366.6666667,105654.166667,121729.0,188083.333333,196487.458333,284225.416667,282102.083333,344456.666667,346161.583333,,,183533.333333,192446.0,228908.333333,232266.666667
13,San Mateo,919250.0,996375.0,1002279.08333,1119322.33333,452680.833333,515988.583333,751173.166667,822522.958333,982014.583333,1113936.5,1523666.66667,1625333.33333,,,635081.25,697939.666667,1145515.86364,1316437.29167,1179605.83333,1296648.0
14,San Joaquin,276945.833333,290691.666667,307307.916667,332305.291667,,,151500.0,181224.5,275637.458333,303779.166667,374301.166667,396345.291667,402128.458333,446453.291667,,,244393.541667,282120.75,313229.166667,338372.666667
15,Stanislaus,238843.75,253733.333333,262962.416667,281045.791667,,,153362.5,171311.25,243306.333333,260391.666667,307614.791667,336037.083333,357656.25,390754.166667,163341.666667,169077.25,254985.416667,272250.0,265507.875,284864.958333
16,Sonoma,475379.166667,505991.666667,565493.75,619520.833333,,,429866.666667,486060.416667,549350.458333,600662.291667,668041.666667,714564.791667,881637.5,995979.166667,310516.25,365991.666667,657579.166667,671975.0,596935.416667,664480.75
17,Tulare,182336.25,186669.166667,215324.583333,234676.708333,,,128389.541667,131868.75,197479.166667,213572.875,274408.666667,295641.25,338708.333333,333816.666667,135467.785714,136841.666667,,,218674.541667,239050.125
18,Solano,330375.0,348416.666667,357553.625,388908.333333,,,255286.166667,281328.333333,323387.5,356137.5,412589.166667,441278.666667,531372.875,529857.666667,,,,,363814.958333,395239.166667
19,Monterey,457554.166667,489200.0,672000.0,722132.833333,,,576191.666667,620297.916667,632491.166667,691141.166667,726199.583333,779891.5,,,494097.833333,523854.166667,,,701697.083333,768769.916667
20,Santa Barbara,466010.416667,464954.166667,743505.5,802829.166667,,,570863.75,646203.708333,670306.166667,702161.5,863666.666667,970870.416667,,,549912.5,597000.0,,,813845.833333,885512.5
21,Placer,384287.5,397833.333333,452740.833333,492098.333333,308916.625,348337.5,350762.5,390050.0,400370.416667,430189.541667,503034.5,537272.5,598135.833333,633978.25,323943.25,380483.333333,608356.1875,666612.5,462109.583333,495115.75
22,San Luis Obispo,480470.833333,501058.333333,576653.916667,604845.833333,369820.833333,297395.75,414025.0,438115.125,548870.833333,567808.333333,716741.583333,766395.041667,1034562.5,1099708.33333,411747.875,433312.5,727666.666667,790500.0,604061.583333,649800.0
23,Santa Cruz,625782.916667,660725.0,688825.0,740031.208333,443450.0,473708.291667,503411.666667,539370.708333,790227.083333,824660.416667,948124.916667,1118831.25,,,507981.111111,542804.166667,,,741445.791667,803745.833333
24,Merced,198189.583333,207833.333333,221999.916667,238216.666667,,,132185.416667,163633.333333,200851.666667,219637.5,260941.208333,273261.666667,338957.666667,348658.333333,,,,,224258.333333,240083.333333
25,Marin,858241.666667,909433.333333,1018949.91667,1138625.0,,,678437.5,714456.25,924403.625,1057291.66667,1503125.0,1578291.66667,,,557345.833333,593958.333333,,,1221333.33333,1345875.0
26,Butte,242745.833333,242525.0,254490.833333,274374.166667,,,153875.0,158389.5,254990.833333,271704.166667,356870.333333,336079.125,377723.083333,381745.833333,152324.95,157308.25,,,259662.5,278352.083333
27,Yolo,345920.833333,364491.666667,387298.583333,417320.416667,,,267121.590909,293068.541667,350402.291667,380675.0,464614.583333,494757.0,,,,,,,400935.409091,430858.333333
28,El Dorado,380866.666667,399375.0,439650.0,465540.0,,,271150.0,303162.5,400983.333333,430916.625,573522.416667,621597.208333,702006.208333,760845.583333,,,,,447453.181818,469519.5
29,Shasta,222543.75,220375.0,247012.5,252140.666667,,,157116.666667,153912.5,235929.166667,242262.5,359475.0,365587.458333,,,,,,,251740.0,253312.5
30,Imperial,184225.0,192308.333333,192724.041667,213016.25,,,,,,,214270.0,258416.666667,,,,,,,194765.833333,216726.458333
31,Kings,184479.166667,196641.666667,197479.166667,215691.458333,,,105060.0,113739.5,182260.0,205670.833333,256975.416667,264470.0,,,,,,,198272.916667,216424.166667
32,Madera,208508.333333,206891.666667,249110.416667,261529.166667,,,181154.166667,194937.5,239145.833333,250245.708333,289197.875,311589.583333,357766.458333,369279.166667,,,,,249175.0,262041.666667
33,Napa,526554.166667,547233.333333,653883.333333,681729.166667,,,517966.166667,534456.25,657704.125,689565.666667,771153.666667,854409.083333,,,,,,,686132.208333,712579.166667
34,Humboldt,243625.0,258887.5,276333.333333,295104.125,,,,,,,,,,,,,,,276902.166667,295700.0
35,Nevada,364007.083333,375494.166667,433154.166667,477993.75,,,309241.666667,343208.333333,430741.666667,469397.875,692166.666667,683412.5,686724.5,701031.25,,,,,447816.666667,488960.416667
36,Sutter,226341.666667,225950.0,248199.5,259754.083333,,,,,225612.5,240200.0,290400.0,312320.833333,,,,,,,250753.958333,262251.083333
37,Mendocino,305520.833333,334033.333333,433671.75,469679.166667,,,,,626375.0,624395.833333,,,,,,,,,433838.416667,470041.666667
38,Yuba,220610.416667,237579.166667,242127.083333,256287.458333,,,,,228694.541667,237425.0,263185.833333,285990.625,,,,,,,241968.666667,257237.416667
39,Lake,193558.333333,198820.0,242570.833333,249362.5,,,182620.833333,193454.083333,248141.666667,266216.666667,362875.0,360608.333333,,,,,,,243166.666667,249362.5
40,Tehama,174250.0,186979.166667,210807.5,217993.75,,,151525.0,156520.833333,223808.333333,226395.833333,259836.25,291368.333333,,,,,,,212326.25,218970.833333
41,Tuolumne,210454.166667,220595.833333,245458.333333,267845.833333,,,199470.833333,221562.416667,264324.958333,292875.0,380278.75,374316.666667,,,,,,,246032.916667,270006.125
42,San Benito,449687.5,466283.333333,512429.083333,544523.958333,,,,,,,630000.0,609053.916667,,,,,,,527515.833333,553184.958333
43,Calaveras,244854.166667,248200.0,299602.083333,324947.833333,,,237395.833333,247845.833333,299112.5,343850.0,395970.833333,412366.666667,,,,,,,299808.333333,327159.791667
44,Siskiyou,144717.5,144204.166667,207947.916667,231854.166667,,,,,231641.666667,237016.666667,,,,,,,,,210537.5,232822.916667
45,Amador,243933.333333,263500.0,283074.333333,332749.958333,,,,,289922.666667,333528.875,387350.0,425045.75,,,,,,,283120.5,332631.041667
46,Lassen,131600.0,145752.205875,,,,,,,183627.777778,198287.5,,,,,,,,,,
47,Del Norte,158729.1308,200206.81,227342.857143,222450.0,,,,,236533.333333,252395.833333,,,,,,,,,227400.0,222616.666667
48,Glenn,186926.719457,176918.52375,225433.333333,227725.833333,,,,,222824.458333,235532.166667,,,,,,,,,225454.166667,227521.666667
49,Plumas,219449.42308,217945.833333,309004.166667,312745.833333,,,204312.5,234597.916667,327450.0,325687.5,,,,,,,,,315916.666667,321712.5
50,Colusa,170000.0,260588.2353,244148.333333,254124.583333,,,,,,,,,,,,,,,244148.333333,254124.583333
51,Mariposa,211091.666667,212120.0,260716.666667,277841.666667,,,,,,,,,,,,,,,262133.333333,279054.166667
52,Inyo,300000.0,294250.0,326608.333333,324465.416667,,,,,277683.333333,315405.833333,,,,,,,,,327558.333333,323754.166667
53,Trinity,186246.224563,241249.0196,267358.333333,289066.666667,,,,,,,,,,,,,,,267441.666667,288487.5
54,Mono,314987.5,316430.0,383858.333333,413908.333333,238612.5,253612.5,357741.666667,371479.166667,506325.0,540240.625,828400.0,813616.666667,,,346991.666667,366108.333333,,,502200.0,525770.833333
55,Modoc,,,141639.583333,145358.333333,,,,,151102.083333,156166.666667,,,,,,,,,141608.333333,144354.166667
56,Sierra,150000.0,,,,,,,,,,,,,,,,,,,
57,Alpine,,,396799.25,341541.541667,,,,,,,,,,,,,,,,
