,Rank2016,District,City,RegionName,County,Score2016,Score2015,Rank2015,SchoolDiggerRating,sold_15,sold_16,list_15,list_16,one_15,one_16,two_15,two_16,thre_15,thre_16,four_15,four_16,five_15,five_16,cond_15,cond_16,trip_15,trip_16,sfr_15,sfr_16
0,1.0,Saratoga Union Elementary,Saratoga,95070,Santa Clara,0.9915045,0.9900003,4,5.0,2001937.5,2091750.0,2503482.2,2419874.95833,,,,,,,,,,,,,,,2658684.4,2537528.45833
1,2.0,Montecito Union Elementary,Santa Barbara,93108,Santa Barbara,0.9914605,0.9850907,10,5.0,2514521.15385,1987655.35443,3972500.0,3940833.33333,,,,,,,4614363.63636,4678875.0,,,,,,,4293208.33333,4497958.33333
2,17.0,Cold Spring Elementary,Santa Barbara,93108,Santa Barbara,0.972069,0.9723369,17,5.0,2514521.15385,1987655.35443,3972500.0,3940833.33333,,,,,,,4614363.63636,4678875.0,,,,,,,4293208.33333,4497958.33333
3,3.0,Orinda Union Elementary,Orinda,94563,Contra Costa,0.9889783,0.9927674,2,5.0,1316174.20814,1413999.19118,,,,,,,,,,,,,,,,,,1604954.54545
4,4.0,La Canada Unified,La Canada,91011,Los Angeles,0.9885594,0.9826217,13,5.0,1502341.4512,1553153.84616,1750825.0,1864333.20833,,,,,,,,,,,,,,,1762416.66667,1888706.125
5,5.0,Hillsborough City Elementary,Hillsborough,94010,San Mateo,0.9883784,0.9891496,5,5.0,2083155.0,1660428.35597,2691166.0,2912699.0,,,,,,,,,,,,,,,2875833.33333,3148741.58333
6,40.0,Burlingame Elementary,Burlingame,94010,San Mateo,0.9336309,0.9313361,38,5.0,2083155.0,1660428.35597,2691166.0,2912699.0,,,,,,,,,,,,,,,2875833.33333,3148741.58333
7,6.0,San Marino Unified,San Marino,91108,Los Angeles,0.9864299,0.9869699,9,5.0,2230000.0,2185566.66667,2568500.0,2668441.66667,,,,,,,,,,,,,,,2568500.0,2668441.66667
8,7.0,Moraga Elementary,Moraga,94556,Contra Costa,0.9845894,0.9875951,8,5.0,1024648.52941,982869.4853,,,,,,,,,,,,,,,,,,
9,8.0,Reed Union Elementary,Tiburon,94920,Marin,0.9837682,0.9844041,12,5.0,1946907.99397,1780343.13727,,,,,,,,,,,,,,,,,,3486090.90909
10,10.0,Rancho Santa Fe Elementary,Rancho Santa Fe,92067,San Diego,0.9811738,0.9816401,15,5.0,,2487941.17645,3212666.58333,3123375.0,,,,,,,2620291.66667,2767569.33333,3789583.33333,4070458.33333,,,,,3276250.0,3161365.66667
11,11.0,Los Gatos-Saratoga Joint Union High,Los Gatos,95030,Santa Clara,0.9801859,0.9614807,23,5.0,2122385.7466,2725056.37253,,2799577.27273,,,,,,,,,,,,,,,,2880950.0
12,12.0,Ballard Elementary,Solvang,93463,Santa Barbara,0.9793631,0.9712592,18,5.0,,,806552.083333,820302.083333,,,,,811400.0,811928.75,,,,,,,,,868125.0,885991.666667
13,237.0,Solvang Elementary,Solvang,93463,Santa Barbara,0.6821405,0.6442322,281,4.0,,,806552.083333,820302.083333,,,,,811400.0,811928.75,,,,,,,,,868125.0,885991.666667
14,13.0,Los Altos Elementary,Los Altos,94024,Santa Clara,0.9789364,0.9888146,7,5.0,2617799.92458,2858316.17648,,,,,,,,,,,,,,,,,,
15,14.0,Portola Valley Elementary,Portola Valley,94028,San Mateo,0.9752498,0.9943593,1,5.0,,,,,,,,,,,,,,,,,,,,
16,15.0,Woodside Elementary,Woodside,94062,San Mateo,0.974103,0.9888319,6,5.0,1676000.0,1825375.0,2136875.0,1895208.33333,,,,,,,,,,,,,,,,
17,282.0,Sequoia Union High,Redwood City,94062,San Mateo,0.628809,0.6272421,295,3.0,1676000.0,1825375.0,2136875.0,1895208.33333,,,,,,,,,,,,,,,,
18,16.0,Mill Valley Elementary,Mill Valley,94941,Marin,0.972717,0.9660981,21,5.0,1316365.90909,1312791.66667,,,,,,,,,,,,,,,,,1490791.45833,1662291.66667
19,18.0,Del Mar Union Elementary,San Diego,92130,San Diego,0.971513,0.9850907,10,5.0,921770.833333,951416.666667,1005992.0,1079252.08333,,,,,755305.833333,799469.791667,1157028.125,1142037.5,1616002.125,1611780.16667,534562.333333,559229.125,,,1289755.16667,1294724.95833
20,19.0,Menlo Park City Elementary,Atherton,94027,San Mateo,0.9690795,0.9819957,14,5.0,,,,,,,,,,,,,,,,,,,,
